Severity,Mean,Std,Accuracy,Time Taken
0.0,1.0,0.0,1.0,0.4107224941253662
4.5,1.0,0.0,0.99,0.4108109474182129
9.0,0.9700000000000002,2.222669831529484e-16,0.976,0.4131357669830322
13.5,0.8960000000000004,3.3340047472942265e-16,0.908,0.4179368019104004
18.0,0.734,0.0,0.744,0.419968843460083
22.5,0.5560000000000002,1.111334915764742e-16,0.568,0.4278299808502197
27.0,0.4480000000000002,1.6670023736471132e-16,0.458,0.43289709091186523
31.5,0.398,0.0,0.408,0.43006324768066406
36.0,0.36599999999999994,5.55667457882371e-17,0.356,0.4337906837463379
40.5,0.4059999999999999,1.111334915764742e-16,0.372,0.43683528900146484
45.0,0.3380000000000001,5.55667457882371e-17,0.364,0.44019389152526855
49.5,0.32399999999999995,5.55667457882371e-17,0.33,0.4435710906982422
54.0,0.27,0.0,0.28,0.41341137886047363
58.5,0.2519999999999999,1.111334915764742e-16,0.252,0.42641782760620117
63.0,0.24399999999999988,1.111334915764742e-16,0.212,0.41950130462646484
67.5,0.246,0.0,0.25,0.446901798248291
72.0,0.2819999999999999,5.55667457882371e-17,0.244,0.41896653175354004
76.5,0.312,0.0,0.316,0.44028234481811523
81.0,0.352,0.0,0.368,0.4329698085784912
85.5,0.3739999999999999,1.111334915764742e-16,0.368,0.4223959445953369
90.0,0.40200000000000014,1.111334915764742e-16,0.402,0.41991639137268066
94.5,0.36399999999999993,5.55667457882371e-17,0.358,0.42833399772644043
99.0,0.32399999999999995,5.55667457882371e-17,0.31,0.43494725227355957
103.5,0.29599999999999993,5.55667457882371e-17,0.27,0.43744373321533203
108.0,0.24199999999999997,2.778337289411855e-17,0.26,0.4734008312225342
112.5,0.238,0.0,0.232,0.4790985584259033
117.0,0.20599999999999996,2.778337289411855e-17,0.204,0.4815382957458496
121.5,0.18,0.0,0.2,0.4815235137939453
126.0,0.22000000000000006,5.55667457882371e-17,0.206,0.4834117889404297
130.5,0.238,0.0,0.218,0.49344730377197266
135.0,0.24399999999999988,1.111334915764742e-16,0.232,0.49800777435302734
-0.0,1.0,0.0,0.998,0.40790438652038574
-4.5,0.9939999999999999,1.111334915764742e-16,0.998,0.4928100109100342
-9.0,0.9740000000000001,1.111334915764742e-16,0.97,0.491729736328125
-13.5,0.9160000000000003,2.222669831529484e-16,0.904,0.49668192863464355
-18.0,0.7420000000000002,2.222669831529484e-16,0.744,0.48937249183654785
-22.5,0.5639999999999998,1.111334915764742e-16,0.542,0.48992300033569336
-27.0,0.46000000000000013,1.111334915764742e-16,0.456,0.4909939765930176
-31.5,0.40200000000000014,1.111334915764742e-16,0.384,0.5037107467651367
-36.0,0.36800000000000005,5.55667457882371e-17,0.358,0.503472089767456
-40.5,0.358,0.0,0.384,0.5102996826171875
-45.0,0.36,0.0,0.366,0.5147855281829834
-49.5,0.356,0.0,0.33,0.5164284706115723
-54.0,0.2819999999999999,5.55667457882371e-17,0.288,0.5209784507751465
-58.5,0.24800000000000008,8.335011868235566e-17,0.238,0.5224757194519043
-63.0,0.24399999999999988,1.111334915764742e-16,0.238,0.5245959758758545
-67.5,0.258,0.0,0.258,0.5251574516296387
-72.0,0.262,0.0,0.268,0.5248656272888184
-76.5,0.322,0.0,0.318,0.5268182754516602
-81.0,0.3440000000000001,1.111334915764742e-16,0.35,0.5334396362304688
-85.5,0.3739999999999999,1.111334915764742e-16,0.388,0.5328023433685303
-90.0,0.4260000000000001,1.111334915764742e-16,0.404,0.5198674201965332
-94.5,0.38,0.0,0.36,0.5315258502960205
-99.0,0.32599999999999996,5.55667457882371e-17,0.332,0.5339853763580322
-103.5,0.2859999999999999,5.55667457882371e-17,0.282,0.5398619174957275
-108.0,0.262,0.0,0.236,0.5447428226470947
-112.5,0.218,0.0,0.23,0.5505149364471436
-117.0,0.20599999999999996,2.778337289411855e-17,0.212,0.5498042106628418
-121.5,0.19200000000000003,2.778337289411855e-17,0.212,0.5533442497253418
-126.0,0.218,0.0,0.224,0.5571107864379883
-130.5,0.21600000000000005,5.55667457882371e-17,0.23,0.5632627010345459
-135.0,0.246,0.0,0.228,0.5618090629577637
