Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.3568475930094719,0.021031009042780106,1.0
3,0.2974510985314846,0.020510704757340296,1.0
4,0.2607200199663639,0.022012916931234444,0.998
5,0.23571313509345054,0.02188105305188979,0.998
6,0.21622045010328292,0.023990400951535235,1.0
7,0.20005379688739777,0.025005061647318746,1.0
8,0.18375540260970594,0.026123961002868557,0.998
9,0.17037620855867863,0.028559551746474933,1.0
10,0.16109557615220546,0.03004885021025162,1.0
11,0.1507551965415478,0.03235967205273258,0.994
12,0.1399432654976845,0.03464689333523053,0.996
13,0.12894435082376005,0.037337156161469875,0.996
14,0.12243289642035961,0.04150751813703245,0.99
15,0.11196509601175784,0.04428594064908043,0.99
16,0.10255292781442404,0.04597529946714193,0.98
17,0.09753858130890876,0.04921843052272959,0.982
18,0.08658139356086031,0.05333245518266441,0.974
19,0.08170177628548117,0.05721715847900355,0.968
20,0.07287016832351219,0.061700978772307485,0.946
21,0.06687325153732672,0.0656317162114992,0.942
22,0.05942869762751798,0.07075168539483197,0.906
23,0.04974211480241502,0.0757079277371716,0.878
24,0.03745774922496639,0.08191226812954283,0.84
25,0.0302546218005009,0.08884405853466927,0.766
26,0.01216085597872734,0.09738361766177771,0.712
27,0.0072239159792661664,0.10749764314257206,0.58
28,-0.012599941909313201,0.11933912266734126,0.57
29,-0.017738978803157807,0.13618357934735345,0.506
30,-0.04960896483063698,0.1641100961691325,0.522
