Severity,Mean,Std,Accuracy
1,0.9999498698711395,0.0008331917886384951,1.0
2,0.9984929441213608,0.007192326812840408,1.0
3,0.9975245230197907,0.010423154338769862,1.0
4,0.9961482501029968,0.012850240004189063,0.998
5,0.9950023069381714,0.016147138746760485,1.0
6,0.9928046147823334,0.017535206716739825,1.0
7,0.9917217620611191,0.018849767001178488,1.0
8,0.9898011710643768,0.02326554968807711,0.998
9,0.9869247959852219,0.025460147510086364,1.0
10,0.9824876562356949,0.03242676826568208,0.996
11,0.9822045570611954,0.03218963281418298,0.998
12,0.9768860775232315,0.042761665426983675,0.996
13,0.9739309079647064,0.04490027878077918,0.994
14,0.971043082356453,0.04578068941021454,0.992
15,0.9691016600131989,0.05008646584956877,0.992
16,0.9621933453083038,0.056941385698265116,0.984
17,0.9609527428150177,0.06409855064841746,0.984
18,0.9560568418502807,0.06337804746257626,0.98
19,0.9494623589515686,0.06851855290169682,0.958
20,0.9460905054807663,0.06880340013082022,0.96
21,0.9484448680877685,0.06933628434314933,0.928
22,0.9385799850225449,0.08100170495189446,0.922
23,0.9380924207568169,0.08163409713494707,0.882
24,0.9249498100280762,0.09101023147791733,0.848
25,0.9246753859519958,0.08678416042212497,0.786
26,0.908469435453415,0.09558726084970795,0.72
27,0.905299833714962,0.10097951727462952,0.668
28,0.9006446705460548,0.09762366893649928,0.524
29,0.8817416731715202,0.09420617436707975,0.488
30,0.8549619377851486,0.08492515785195086,0.488
