Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9993933277130127,0.0004425143652381037,0.998
3,0.9977360951900482,0.0006373954939398297,1.0
4,0.9950747742652893,0.0013015210555479342,1.0
5,0.9911348562240601,0.002304931691817991,1.0
6,0.9863418996334076,0.0037481478014772035,1.0
7,0.980434783577919,0.0058878052178922835,1.0
8,0.9720742304325104,0.008660287014956022,1.0
9,0.964927245259285,0.012263722097631144,1.0
10,0.9559958711862564,0.01690687924241068,0.996
11,0.9428330119848252,0.02228261660426931,0.994
12,0.933340149641037,0.029266874996683578,0.996
13,0.9191869987249375,0.0377015559468214,0.992
14,0.9046325503587723,0.04644196215891743,0.994
15,0.8870728985071182,0.05748800004592612,0.99
16,0.86751398062706,0.0695544411233271,0.99
17,0.855120556473732,0.08305600103521886,0.982
18,0.8278856400251389,0.09837466260236297,0.972
19,0.7959649267196656,0.11533087177805157,0.972
20,0.7781088732481003,0.13386384045140468,0.956
21,0.7433133260011673,0.1530593138815381,0.94
22,0.7316169019937515,0.17529246230504766,0.91
23,0.7030275403857231,0.19940668011366977,0.894
24,0.6808088889718056,0.2233226445207791,0.838
25,0.6327608469128608,0.2501299183756662,0.782
26,0.5944509416222572,0.2765083269510925,0.734
27,0.5746714183688164,0.30471889987714473,0.6
28,0.5515338163971901,0.3327168144646067,0.588
29,0.5096616941541433,0.36441091765740885,0.52
30,0.4920199948325753,0.39384598168119606,0.466
