Severity,Mean,Std,Accuracy
1,0.9978763781785965,0.016238735188771253,1.0
2,0.996932296872139,0.013036064219249239,1.0
3,0.9930485943555832,0.01330802609767392,0.998
4,0.9879018331766128,0.01015187140967767,0.998
5,0.9794314897060394,0.014398389782357721,1.0
6,0.9684065253734588,0.016619094295142006,0.998
7,0.9558648151159287,0.017441026868950955,1.0
8,0.9406333291530609,0.022263528943930223,0.998
9,0.9237956352233887,0.026064926309524294,0.996
10,0.9033917286396027,0.03310475083857615,0.994
11,0.8796762580871582,0.04012697861839878,0.996
12,0.8553571844100952,0.051213573404307176,0.998
13,0.8365418741703033,0.0617293292255413,0.99
14,0.7997792249917984,0.07331209659383423,0.992
15,0.7705208158493042,0.08779882907751482,0.99
16,0.7505605410337448,0.10571027142440265,0.978
17,0.7108895976543427,0.12219926617570134,0.972
18,0.6687790853381157,0.1419025645909849,0.966
19,0.6289430615305901,0.1615759768020268,0.962
20,0.6019677171111106,0.1828894576954565,0.962
21,0.5663196424841881,0.2039055747231174,0.944
22,0.5194985300600529,0.2237256246566665,0.904
23,0.5035459753870964,0.24502995515950463,0.88
24,0.45652976202964785,0.26357242866840064,0.856
25,0.43026570665836333,0.2791123663527036,0.772
26,0.38925535695254804,0.2935930370552724,0.726
27,0.3763849353119731,0.30852474371975797,0.63
28,0.3266804453060031,0.3139399547669203,0.596
29,0.3509436774235219,0.3219762521762083,0.506
30,0.2987971853967756,0.32390538214740294,0.486
