Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.6892629265785217,0.06433013081550598,1.0
3,0.6335285902023315,0.056185636669397354,1.0
4,0.6053804755210876,0.0536971241235733,1.0
5,0.5861558318138123,0.052466850727796555,1.0
6,0.5718648433685303,0.05062473192811012,1.0
7,0.5608489513397217,0.049740616232156754,1.0
8,0.5504415035247803,0.041200343519449234,1.0
9,0.5428391695022583,0.03949500247836113,1.0
10,0.5364376306533813,0.038013726472854614,1.0
11,0.5309593081474304,0.03695197030901909,1.0
12,0.5258780121803284,0.03563376143574715,0.998
13,0.5215698480606079,0.03453311324119568,0.998
14,0.5177850127220154,0.03361580893397331,0.996
15,0.5144422650337219,0.03274904564023018,0.99
16,0.5113868117332458,0.03206890821456909,0.986
17,0.508669376373291,0.03132594749331474,0.984
18,0.5061811208724976,0.030535733327269554,0.984
19,0.5037996172904968,0.02971716597676277,0.98
20,0.5016636848449707,0.028964204713702202,0.976
21,0.49971503019332886,0.028384925797581673,0.968
22,0.4980347454547882,0.027950916439294815,0.954
23,0.4963938593864441,0.027558738365769386,0.95
24,0.4949006140232086,0.027251286432147026,0.936
25,0.49350544810295105,0.0269723292440176,0.924
26,0.4921223521232605,0.026613730937242508,0.914
27,0.49097710847854614,0.026365606114268303,0.902
28,0.48979222774505615,0.02607155591249466,0.9
29,0.48875176906585693,0.025860698893666267,0.886
30,0.48775649070739746,0.0256268922239542,0.872
