Severity,Mean,Std,Accuracy
1,0.9999978164434433,9.3930894357468e-07,1.0
2,0.9999575397372246,5.6755458392274064e-05,1.0
3,0.999870789706707,0.00023480912127678836,1.0
4,0.9996976189613342,0.0005472617923409122,1.0
5,0.999414532661438,0.0009858380517146056,1.0
6,0.9990041978955269,0.0015414503165555578,1.0
7,0.9984533955454826,0.0022131759244362606,1.0
8,0.9977550963163376,0.002989585893248305,1.0
9,0.9968952680826187,0.0038819973133697996,1.0
10,0.995884844481945,0.004864765013278509,1.0
11,0.9947188562750816,0.005940392365620312,1.0
12,0.9934251334071159,0.007062483283032578,0.998
13,0.9919746893048287,0.008280439807790462,0.998
14,0.9903924391269684,0.009554443134441617,0.996
15,0.9886740372776985,0.01088779003733987,0.99
16,0.9868175371885299,0.012277729564563434,0.986
17,0.9848270293474197,0.013706569557754908,0.984
18,0.9827334233522416,0.01517127344247223,0.984
19,0.980518746137619,0.016674583510061913,0.98
20,0.9782073004841805,0.018180832470667235,0.976
21,0.9757899596095085,0.019712541902076414,0.968
22,0.9733350470662117,0.0211953383888028,0.954
23,0.9707986215949058,0.022655242483182073,0.95
24,0.9681919775009156,0.0241171738773463,0.936
25,0.9655534049868584,0.025535963306679472,0.924
26,0.9628387079834938,0.0269951589178395,0.914
27,0.9601496534347534,0.028406582703226834,0.902
28,0.9573381207585335,0.029875594485418218,0.9
29,0.9545268565416336,0.03132614937591176,0.886
30,0.9517454218566418,0.0327212667069191,0.872
