Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9993604278564453,0.00029987320774397386,1.0
3,0.997732391834259,0.0008024216156705149,0.998
4,0.9949100650548935,0.001810457915023759,0.998
5,0.9910229429006576,0.003209968767635843,1.0
6,0.9858512649536133,0.005092266600852269,1.0
7,0.9796861132383347,0.007008674976894938,0.998
8,0.9726649928092956,0.009802298740660425,0.998
9,0.9639091886281967,0.01161147399360506,1.0
10,0.9539240180253983,0.017140572962473996,0.998
11,0.9430059224367142,0.02033278223249787,0.996
12,0.9313107732534408,0.023242270145447386,0.994
13,0.91582723903656,0.02920226680530201,0.99
14,0.8996827341318131,0.03598680073894944,0.994
15,0.8837625249624252,0.04130519738738073,0.992
16,0.8697211079597473,0.05252913074725303,0.984
17,0.8455567129850388,0.06025523925162523,0.976
18,0.8298581335544586,0.07317055038443093,0.976
19,0.8067808427810669,0.08397483264802344,0.962
20,0.7828662115335464,0.09823205483852593,0.958
21,0.7609751898050309,0.11319045202036816,0.934
22,0.732068160533905,0.1289612241934994,0.926
23,0.704089497923851,0.14849178786139697,0.868
24,0.6851236149072647,0.1659353710002702,0.826
25,0.6516133840680123,0.18701682839279213,0.782
26,0.6151211827397346,0.20689640206415644,0.716
27,0.6003069115281106,0.22706341301107927,0.67
28,0.5562299953699112,0.2542762094663695,0.518
29,0.522845511585474,0.2734008274810512,0.506
30,0.49222052563726904,0.29936465778491833,0.488
