Severity,Mean,Std,Accuracy
1,0.9994081148081619,0.0005265379331263823,0.997
2,0.9977652576995336,0.0014988797503838905,0.997
3,0.9951451738102267,0.0026064127575031446,0.997
4,0.9916044610258072,0.0039861536048589755,0.997
5,0.9873212401535788,0.005520107468665534,0.997
6,0.9824083543354872,0.0071866432486796675,0.997
7,0.9769665122845951,0.008895565349259416,0.996
8,0.9710409483597272,0.010561469823450548,0.996
9,0.9647968924087181,0.012114756601108176,0.995
10,0.958232762863712,0.013644731269875242,0.995
11,0.9515604737854316,0.015009296465284655,0.995
12,0.9446256434633241,0.01641783985780031,0.995
13,0.9376131123445004,0.01772775650850588,0.995
14,0.9305594636055564,0.01901156481362268,0.995
15,0.9234364590557161,0.02025126652837374,0.995
16,0.9162555616032069,0.02139601075501865,0.993
17,0.9092006764188382,0.022502153751725706,0.992
18,0.9021166774443848,0.023600021730077848,0.989
19,0.895139624469165,0.02462067398011777,0.987
20,0.8882218832093186,0.025611201369077644,0.983
21,0.8815013618863704,0.02649469948938225,0.984
22,0.8748647271495611,0.0273545656040244,0.981
23,0.8683003726695064,0.028177728450554985,0.976
24,0.8619585779019387,0.028938688534971224,0.971
25,0.855660105881429,0.02967828022383805,0.967
26,0.8496500948124481,0.03035703512191522,0.962
27,0.8435794161349163,0.03106474933251471,0.959
28,0.8376963006226416,0.03173803214352679,0.957
29,0.8320742919374151,0.032339432088399234,0.956
