Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.5031826654076577,0.05987084882451316,1.0
3,0.469757075548172,0.06861297035997597,0.998
4,0.4432843913435936,0.0742406025795219,1.0
5,0.42174606066942216,0.07968101455317435,1.0
6,0.4053303597569466,0.08213447542470184,1.0
7,0.39070134836435316,0.08420542980799531,0.998
8,0.37587412375211715,0.08407968104950152,0.998
9,0.3659403955638409,0.08670926920987213,1.0
10,0.35560155668854715,0.08698748657296163,1.0
11,0.3486774754524231,0.08828372613503371,1.0
12,0.3394327472150326,0.08848159710032807,0.998
13,0.3322750825583935,0.09081695916790049,1.0
14,0.32486794313788414,0.08961357091997324,0.998
15,0.3190051771104336,0.09092907888650942,0.998
16,0.31556408521533014,0.09246384904395871,1.0
17,0.30722837141156195,0.09224823844957647,0.998
18,0.3030366142988205,0.09193667859915798,0.996
19,0.2988079464137554,0.09249758198550376,0.992
20,0.29362241584062576,0.09287043411380264,0.992
21,0.2895775906741619,0.09368461255069534,0.992
22,0.28436942091584205,0.09433420771386795,0.996
23,0.2810467795431614,0.09429347397096316,0.99
24,0.27744703090190886,0.09459721189007494,0.988
25,0.2745913386642933,0.09425663672793852,0.988
26,0.2704141794741154,0.09587182317189967,0.994
27,0.2673216744065285,0.0951578033597547,0.992
28,0.26424475985765455,0.09590983124659833,0.986
29,0.2616917261183262,0.09613230728205731,0.984
30,0.25889964843541385,0.0973027010664347,0.978
