Severity,Mean,Std,Accuracy
1,0.999873046875,0.0016213267361873955,1.0
2,0.9994014382362366,0.003239489724378294,1.0
3,0.9993056176900864,0.002664424061762186,1.0
4,0.9987925742864608,0.005098280121284306,1.0
5,0.9984108235836029,0.006346180016035316,1.0
6,0.9980566651821137,0.006025954341296339,1.0
7,0.9975388861894607,0.006112329652971917,0.998
8,0.9970376940965653,0.006981853734653867,1.0
9,0.9965112243890762,0.007675596163963756,1.0
10,0.996002503156662,0.006956038610762575,0.998
11,0.9955790061950683,0.007005298446067819,1.0
12,0.9948041594028473,0.008370698536179121,1.0
13,0.9942993565797805,0.008192978484984337,1.0
14,0.9931999292373658,0.012512468315422395,1.0
15,0.9921011501550674,0.012271592321032641,0.998
16,0.9914365037679672,0.013302687100066223,0.998
17,0.9898703413009644,0.016924725299935064,1.0
18,0.989748841881752,0.012849017960328396,1.0
19,0.987741560101509,0.017428136077934413,0.996
20,0.9870380024909973,0.018264943852080134,0.994
21,0.9858613020181656,0.01957300161722924,0.994
22,0.9840723520517349,0.0231037919740222,0.998
23,0.9841793489456176,0.018890410143377317,0.992
24,0.9818126116991043,0.021369124020970718,0.988
25,0.9806224479675293,0.026838582385117316,0.992
26,0.980409124135971,0.021792728492205798,0.984
27,0.9781215087175369,0.027297114440456915,0.992
28,0.9766419736146927,0.0290363258976137,0.98
29,0.9748223980665207,0.031661306019835314,0.98
30,0.9736411144733429,0.029525167482456205,0.974
