Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9997242457866669,0.0007084986126686975,1.0
3,0.9993865844011307,0.0012618191149373324,1.0
4,0.9987307642698288,0.0030852401181121142,1.0
5,0.9978852087259292,0.0045213981004806995,0.998
6,0.9970422867536545,0.005589357243795763,1.0
7,0.9959625313282013,0.006083752015316073,1.0
8,0.9946128202676773,0.0076952754522878475,1.0
9,0.993133508682251,0.009501323762634304,1.0
10,0.9915599763393402,0.011565969600581861,0.998
11,0.9897151463031769,0.013810096426499805,1.0
12,0.988379317522049,0.014610416687750085,0.998
13,0.9858511393070221,0.018089701976071557,0.998
14,0.983506431221962,0.0219184221514758,0.998
15,0.9809877979755401,0.024031863607335585,1.0
16,0.9795866684913636,0.025744647204407688,0.996
17,0.9765872699022293,0.02741751925468389,0.996
18,0.9741962668895722,0.03086581959582233,0.994
19,0.9716692432165146,0.033139498928747665,0.996
20,0.9684410506486892,0.03526344852662722,0.99
21,0.9663524260520935,0.03933395717300738,0.998
22,0.9630172021389007,0.041625925076653206,0.994
23,0.9604646661281586,0.0428006364736388,0.994
24,0.9577143485546112,0.043550483248282305,0.988
25,0.9538411196470261,0.04878097209130778,0.984
26,0.9500730919837952,0.05213728457029176,0.984
27,0.9478491034507751,0.05192340716558654,0.98
28,0.9446893042325973,0.05749280935515808,0.986
29,0.9412842903137207,0.05981979392577683,0.974
30,0.937766411781311,0.061836970123816504,0.982
