Severity,Mean,Std,Accuracy
1,0.9987839953899383,0.007099785942945804,0.998
2,0.9979242789745331,0.010912931099220334,1.0
3,0.9973174154758453,0.014115467363097205,1.0
4,0.9964530287981034,0.01482497190898256,1.0
5,0.9959080678224563,0.014058329135355081,1.0
6,0.994921091914177,0.012569425165239644,1.0
7,0.99399793446064,0.013147744275982459,1.0
8,0.9919576408863068,0.016809922612538716,1.0
9,0.9905759531259537,0.017291582330465995,0.998
10,0.9892157992124557,0.015325601617576956,1.0
11,0.986956958413124,0.02052703287822064,0.996
12,0.9846838852167129,0.022488446918990997,0.996
13,0.983196113228798,0.021239674084171038,0.998
14,0.9793539952039718,0.02827259214159502,0.998
15,0.9776322100162506,0.029897490510356003,0.998
16,0.9759653962850571,0.028151545101959097,0.998
17,0.9721051967144012,0.03457514695198899,0.998
18,0.9691961636543274,0.03621906703727929,0.998
19,0.9663651163578033,0.039858824931268015,0.992
20,0.9643733783960342,0.040129564438764954,0.996
21,0.9595306298732758,0.04468533916273848,0.992
22,0.9569181895256043,0.04780060595707773,0.994
23,0.9548498587608337,0.048065461235136914,0.992
24,0.951338351726532,0.0512387044811395,0.992
25,0.9486780841350555,0.05309385784562571,0.996
26,0.9449521285295487,0.056741346934606016,0.99
27,0.9400172967910767,0.06016980261630004,0.986
28,0.9370644487142563,0.060934610758563955,0.98
29,0.9360977221727371,0.06030139443230684,0.974
30,0.9328146222829818,0.06520927258151696,0.986
