Severity,Mean,Std,Accuracy
1,0.9999978164434433,9.3930894357468e-07,1.0
2,0.9999665004014969,3.443584251488588e-05,1.0
3,0.9999651027917862,3.521286709723336e-05,1.0
4,0.99996345692873,4.0370213905072665e-05,1.0
5,0.99996208101511,4.639081973732801e-05,1.0
6,0.9999601609706879,5.919194959912352e-05,1.0
7,0.9999577151536941,7.552294346822659e-05,1.0
8,0.9999546256661415,9.593913584684695e-05,1.0
9,0.9999505807161331,0.0001220374362014682,1.0
10,0.9999457249045371,0.00015313083740680218,1.0
11,0.9999398891925811,0.0001882935539968472,1.0
12,0.9999331784844399,0.00022633719585424917,1.0
13,0.9999254521131515,0.00026738607832106084,1.0
14,0.9999159026145935,0.00031711976847752005,1.0
15,0.9999053941369057,0.0003708980167343915,1.0
16,0.9998943026065826,0.000429092156886619,1.0
17,0.9998804830312729,0.0004896567764675631,1.0
18,0.999866254389286,0.0005548842453704905,1.0
19,0.9998514855504036,0.000624596459943815,1.0
20,0.9998348671197891,0.0006994322728811369,1.0
21,0.9998162704110145,0.0007784168697813396,1.0
22,0.9997958347797394,0.0008587241840546738,1.0
23,0.9997743641734124,0.0009522741867536601,1.0
24,0.9997499455213547,0.0010506197436724583,1.0
25,0.9997265107035637,0.0011439854744808378,1.0
26,0.9997004732489586,0.00125432123655292,1.0
27,0.9996719003319741,0.001358337675806306,1.0
28,0.9996425299048424,0.0014715942483923526,1.0
29,0.9996119144558907,0.0015896976028533468,1.0
30,0.9995779804587365,0.0017175436106598196,1.0
