Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9998642195463181,0.00011489097816846327,1.0
3,0.999661853313446,0.0003415302227313923,1.0
4,0.9993334183692932,0.0007625711678449581,1.0
5,0.9989002429246903,0.0012136539514347826,0.998
6,0.9983195165395736,0.001957394248966806,0.998
7,0.9976701999902725,0.002681713972899469,1.0
8,0.9968683165311814,0.003685371544694378,0.998
9,0.9959131333827972,0.004918217735073058,1.0
10,0.9949993011951447,0.005825899716192387,1.0
11,0.9938744096755981,0.007160548422026975,0.998
12,0.9927955983877182,0.007684593529714077,0.998
13,0.991222574710846,0.010446988320007998,1.0
14,0.9895259093046188,0.013039003487229927,0.994
15,0.988242080450058,0.013151059536050757,0.998
16,0.9866359388828277,0.016155634087639936,0.996
17,0.9856674031019211,0.014972605714122723,0.996
18,0.9834253367185593,0.01893476887682358,0.994
19,0.981448344707489,0.021862565571823905,0.998
20,0.9792910344600677,0.023718422497545882,0.994
21,0.978051824092865,0.02234674825908974,0.992
22,0.97565143597126,0.02599721480749532,0.992
23,0.9736057188510895,0.02886123920664428,0.988
24,0.9726048027276992,0.02660042213839485,0.988
25,0.9699156768321991,0.030075120966276177,0.988
26,0.9677591058015823,0.03213340478955213,0.982
27,0.9651817263364791,0.03363587901518314,0.992
28,0.9638813112974167,0.0349929310198854,0.986
29,0.9600220934152603,0.038405803972738954,0.97
30,0.9586346170902252,0.040938004877777226,0.974
