Severity,Mean,Std,Accuracy
1,0.9998166569457806,0.001050857331540264,1.0
2,0.9995759233769529,0.00167330002423045,1.0
3,0.9992243746145757,0.002247317934063146,1.0
4,0.998765223235539,0.0028832383465969428,1.0
5,0.9982115545446627,0.0036321937389957,1.0
6,0.9975586938095493,0.004495778302882175,1.0
7,0.9967730871352807,0.005475867274897204,1.0
8,0.9959454573439828,0.006516658297033259,1.0
9,0.9950250734007928,0.007625187579135533,1.0
10,0.9940694721605557,0.00878121390053371,1.0
11,0.9929764466342577,0.009946830513873352,1.0
12,0.9918363975699597,0.011154929716847716,1.0
13,0.990580732873443,0.012374672399497461,1.0
14,0.9893786577086715,0.013562077495212058,1.0
15,0.9882106864786862,0.014750504154471754,1.0
16,0.9867565542368977,0.015926273704405938,1.0
17,0.985377151018688,0.017107461967262427,1.0
18,0.9839788339480277,0.018272281316563433,1.0
19,0.9825248831305466,0.019421534575959108,1.0
20,0.9810789111602963,0.020591860390566024,1.0
21,0.9795304448193072,0.021716317340296887,1.0
22,0.9780383170796672,0.022840268753994374,1.0
23,0.9764637128039914,0.023954941169268613,1.0
24,0.9749041402389205,0.02507471021385847,0.999
25,0.9733309840534132,0.02615080749230196,0.999
26,0.9716471568657324,0.027247378141956075,0.996
27,0.9701142826286803,0.028285809589027554,0.996
28,0.9685055019315976,0.029329124209860905,0.996
29,0.9669212722443731,0.03035748224551221,0.995
