Severity,Mean,Std,Accuracy,Time Taken
0.0,0.9914654594556346,2.222669831529484e-16,0.49,0.11558103561401367
0.032999999821186066,0.9914692627236135,3.3340047472942265e-16,0.512,0.12900567054748535
0.06599999964237213,0.9914716671496636,3.3340047472942265e-16,0.526,0.16921758651733398
0.0989999994635582,0.9914731872243331,2.222669831529484e-16,0.53,0.16314029693603516
0.13199999928474426,0.9914741482119408,3.3340047472942265e-16,0.552,0.20042991638183594
0.16499999165534973,0.9914747557453648,2.222669831529484e-16,0.574,0.17382073402404785
0.1979999989271164,0.9914751398261558,4.445339663058968e-16,0.6,0.2023470401763916
0.23100000619888306,0.991475382640644,0.0,0.6,0.17017221450805664
0.2639999985694885,0.9914755361469951,2.222669831529484e-16,0.594,0.1634376049041748
0.296999990940094,0.9914756331931387,2.222669831529484e-16,0.62,0.17757630348205566
0.32999998331069946,0.9914756945453435,2.222669831529484e-16,0.634,0.16643905639648438
0.3630000054836273,0.9914757333320009,0.0,0.656,0.17213773727416992
0.3959999978542328,0.991475757852749,1.111334915764742e-16,0.666,0.16386842727661133
0.42899999022483826,0.9914757733546707,3.3340047472942265e-16,0.668,0.17086482048034668
0.4620000123977661,0.9914757831549337,3.3340047472942265e-16,0.694,0.16306114196777344
0.4950000047683716,0.9914757893506145,3.3340047472942265e-16,0.708,0.16872119903564453
0.527999997138977,0.9914757932674995,2.222669831529484e-16,0.686,0.17258429527282715
0.5609999895095825,0.9914757957437391,2.222669831529484e-16,0.682,0.17148208618164062
0.593999981880188,0.9914757973092083,2.222669831529484e-16,0.716,0.16684246063232422
0.6270000338554382,0.9914757982988932,2.222669831529484e-16,0.682,0.1658482551574707
0.6600000262260437,0.991475798924567,0.0,0.712,0.16459155082702637
0.6930000185966492,0.9914757993201153,3.3340047472942265e-16,0.72,0.161391019821167
0.7260000109672546,0.9914757995701802,4.445339663058968e-16,0.706,0.16250085830688477
0.7590000033378601,0.9914757997282689,3.3340047472942265e-16,0.71,0.15962696075439453
0.7919999957084656,0.9914757998282125,3.3340047472942265e-16,0.732,0.17138290405273438
0.824999988079071,0.9914757998913968,1.111334915764742e-16,0.742,0.17646455764770508
0.8580000400543213,0.9914757999313417,2.222669831529484e-16,0.724,0.16276812553405762
0.8910000324249268,0.9914757999565945,1.111334915764742e-16,0.73,0.1622762680053711
0.9240000247955322,0.9914757999725589,3.3340047472942265e-16,0.738,0.1663818359375
0.9570000171661377,0.991475799982652,0.0,0.736,0.17635726928710938
0.9900000095367432,0.9914757999890327,0.0,0.722,0.17660856246948242
-0.0,0.9914654594556346,2.222669831529484e-16,0.464,0.15306496620178223
-0.032999999821186066,0.9914594435523277,2.222669831529484e-16,0.452,0.16714048385620117
-0.06599999964237213,0.9914499278189413,2.222669831529484e-16,0.464,0.16393113136291504
-0.0989999994635582,0.9914348763209343,2.222669831529484e-16,0.418,0.1604173183441162
-0.13199999928474426,0.9914110689781611,1.111334915764742e-16,0.414,0.15960383415222168
-0.16499999165534973,0.9913734131590047,3.3340047472942265e-16,0.39,0.16942334175109863
-0.1979999989271164,0.9913138554568559,1.111334915764742e-16,0.38,0.1698322296142578
-0.23100000619888306,0.9912196624110038,4.445339663058968e-16,0.336,0.17865228652954102
-0.2639999985694885,0.991070705613859,1.111334915764742e-16,0.304,0.1650984287261963
-0.296999990940094,0.9908351789875398,0.0,0.282,0.1724402904510498
-0.32999998331069946,0.9904628543792845,3.3340047472942265e-16,0.27,0.15931200981140137
-0.3630000054836273,0.9898744862771418,0.0,0.266,0.17595720291137695
-0.3959999978542328,0.9889452395529941,1.111334915764742e-16,0.242,0.16478252410888672
-0.42899999022483826,0.9874789257572208,1.111334915764742e-16,0.226,0.16206145286560059
-0.4620000123977661,0.9851683840730979,3.3340047472942265e-16,0.208,0.16477346420288086
-0.4950000047683716,0.9815355974119044,3.3340047472942265e-16,0.18,0.164306640625
-0.527999997138977,0.9758436895307165,0.0,0.176,0.15823101997375488
-0.5609999895095825,0.9669738712248342,5.556674578823711e-16,0.158,0.16382479667663574
-0.593999981880188,0.9532682797019463,1.111334915764742e-16,0.158,0.1714482307434082
-0.6270000338554382,0.932364824408678,0.0,0.144,0.17233824729919434
-0.6600000262260437,0.9011092180505522,3.3340047472942265e-16,0.158,0.16903948783874512
-0.6930000185966492,0.8557329792795761,3.3340047472942265e-16,0.148,0.1616830825805664
-0.7260000109672546,0.7926004009454181,2.222669831529484e-16,0.134,0.15761947631835938
-0.7590000033378601,0.7097714844269482,1.111334915764742e-16,0.124,0.1665048599243164
-0.7919999957084656,0.6090884624546875,2.222669831529484e-16,0.12,0.16340041160583496
-0.824999988079071,0.4974664878200591,5.55667457882371e-17,0.114,0.15890264511108398
-0.8580000400543213,0.38566876657924104,5.55667457882371e-17,0.116,0.1789989471435547
-0.8910000324249268,0.28452534541927826,5.55667457882371e-17,0.108,0.15932440757751465
-0.9240000247955322,0.20110198166185045,8.335011868235566e-17,0.104,0.16487765312194824
-0.9570000171661377,0.13738509642090002,5.55667457882371e-17,0.102,0.19179129600524902
-0.9900000095367432,0.0915185884236978,1.3891686447059276e-17,0.102,0.1707000732421875
