Severity,Mean,Std,Accuracy
1,1.0,0.0,0.998
2,0.42070555591583253,0.020731154941948347,0.998
3,0.36330254101753234,0.021730416854611845,1.0
4,0.32788022989034654,0.022274349596090606,1.0
5,0.3028098575472832,0.023378301646442688,0.998
6,0.2814760848879814,0.023902107026356183,1.0
7,0.26594014194607735,0.02624972261519198,0.998
8,0.2540869494378567,0.026235934744059514,0.996
9,0.2420022296309471,0.0277444476126546,0.996
10,0.2316677065193653,0.029079411382937164,0.998
11,0.21987753367424012,0.0311742622263166,0.998
12,0.2132284030020237,0.03338627505264993,0.998
13,0.2056785332262516,0.034180023097768526,0.996
14,0.19763373509049414,0.03487647350413576,0.992
15,0.18930107367038726,0.03634979911976833,0.982
16,0.18032272727787493,0.03806162366229895,0.988
17,0.17900947138667106,0.041144321769837684,0.974
18,0.17083765833079814,0.04166370112632096,0.968
19,0.16385312142968178,0.04352453798369804,0.97
20,0.1630816847831011,0.04437649485310084,0.94
21,0.1545316606462002,0.0476108087515903,0.914
22,0.14806757156550884,0.04885139985891095,0.93
23,0.1443701281696558,0.05064176452526102,0.898
24,0.14057887558639048,0.05191387304733678,0.862
25,0.1376160920932889,0.05480028483719454,0.8
26,0.12786969160288572,0.056410153091179874,0.764
27,0.1295848442390561,0.05870498050023159,0.7
28,0.12239679932966828,0.06092494571024035,0.61
29,0.11295910330020706,0.06384967225338564,0.606
30,0.1104468342519831,0.06563363630281872,0.52
