Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9993991270065308,0.00010200020383588392,0.998
3,0.9978969604969025,0.00029916774676095416,1.0
4,0.9953989452123642,0.0006439627924334231,1.0
5,0.9919014242887497,0.0015190863622053258,1.0
6,0.9873812971115112,0.0026162030188511976,1.0
7,0.9820811347961426,0.004141121935213958,1.0
8,0.9753368881940842,0.00648034244712954,0.998
9,0.9688745194673538,0.009275884958186688,0.996
10,0.9590856885910034,0.013151533829448753,0.996
11,0.9501930725574493,0.017867741414821083,0.998
12,0.9386778250932694,0.023113250411130267,0.996
13,0.9263915283679962,0.03035351529394092,0.996
14,0.9097784826755524,0.03788847089398036,0.984
15,0.8944789309501648,0.04676833459426025,0.984
16,0.8831727038621903,0.057132566210566844,0.98
17,0.863774005651474,0.06941221061792432,0.98
18,0.8455912799835205,0.0811229023706264,0.972
19,0.8287031401395798,0.09539286266081588,0.968
20,0.8019402984380722,0.11172554825576247,0.944
21,0.7829019825458526,0.1278576837693169,0.932
22,0.7617711596488953,0.1463845819323118,0.892
23,0.724886649608612,0.16659946021399624,0.896
24,0.6892243819236755,0.18703157379190544,0.842
25,0.703592001080513,0.20685208596068919,0.822
26,0.6564357120990754,0.2338741473372585,0.756
27,0.6073261489868164,0.25612957924602414,0.704
28,0.5885683365166188,0.2819983701275572,0.648
29,0.5350578534603119,0.30754589091212925,0.554
30,0.5055321057736873,0.3325365264233773,0.552
