Severity,Mean,Std,Accuracy
1,0.9983835543394088,0.008559433525654884,0.998
2,0.9968775357007981,0.0119572977718872,0.998
3,0.9947779282331467,0.011561496286936675,0.998
4,0.9895174392461776,0.016958934812208715,1.0
5,0.9849572933912277,0.0156995614956584,0.998
6,0.9776129877567291,0.01898304030357349,0.998
7,0.9702533732652664,0.01751448394134074,1.0
8,0.9586454373598099,0.027227879896399434,0.996
9,0.9483485808372497,0.025014073689250394,0.998
10,0.9364265894889832,0.02881668190305976,0.998
11,0.9237269167900085,0.028737867784480505,0.996
12,0.910700987815857,0.037763757016558167,0.998
13,0.8928983705043793,0.042264931059100314,0.992
14,0.8795123535394669,0.04845868452829659,0.99
15,0.8573155084848404,0.05718853425356643,0.99
16,0.8382425028085708,0.066083356377375,0.982
17,0.8179238717556,0.07888108389765541,0.984
18,0.7914445089697838,0.0910264123987025,0.978
19,0.7663403124809265,0.10639073353944252,0.972
20,0.7398772451877594,0.1210472349804146,0.946
21,0.7174295653700828,0.1418418379367233,0.94
22,0.6881283999085427,0.1602730669391091,0.934
23,0.6695814120173454,0.18201046482768032,0.878
24,0.6212330208420753,0.20371786781105097,0.846
25,0.601534641802311,0.2258241388109954,0.816
26,0.5563011318147183,0.2517132188859237,0.752
27,0.5039137800931931,0.2753657163976436,0.69
28,0.5152083518505096,0.30252756851012297,0.572
29,0.4820340061634779,0.32642048611553737,0.56
30,0.4293751468360424,0.3511815165899945,0.534
