Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.837275505065918,0.09542331099510193,1.0
3,0.7760505080223083,0.08606021851301193,1.0
4,0.7424286007881165,0.07997509837150574,1.0
5,0.7217617034912109,0.08090859651565552,1.0
6,0.7070534825325012,0.08087009191513062,1.0
7,0.6931502223014832,0.07691478729248047,1.0
8,0.6823993921279907,0.0779542401432991,1.0
9,0.6740174293518066,0.07757040858268738,1.0
10,0.6681496500968933,0.07983775436878204,1.0
11,0.662692129611969,0.08024153113365173,1.0
12,0.6564200520515442,0.07941823452711105,1.0
13,0.6512131690979004,0.07867353409528732,1.0
14,0.6464211344718933,0.07868462800979614,1.0
15,0.6423853635787964,0.07675207406282425,1.0
16,0.6397292017936707,0.07730837166309357,1.0
17,0.6360593438148499,0.07777802646160126,1.0
18,0.6332205533981323,0.07963389903306961,1.0
19,0.6299540996551514,0.07791535556316376,0.998
20,0.6269113421440125,0.07702770084142685,0.994
21,0.6246277093887329,0.07602573186159134,0.988
22,0.6222438812255859,0.07657494395971298,0.986
23,0.6199466586112976,0.07522712647914886,0.984
24,0.6180327534675598,0.07595459371805191,0.984
25,0.6161442399024963,0.07562857121229172,0.984
26,0.6140184998512268,0.0745755061507225,0.984
27,0.6124889254570007,0.07597994804382324,0.982
28,0.61057049036026,0.07517450302839279,0.982
29,0.6089619994163513,0.07413586974143982,0.982
30,0.6077103018760681,0.07435591518878937,0.982
