Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9988890784978867,0.001550613556370562,1.0
3,0.9959954576492309,0.005344927066448926,1.0
4,0.991947526216507,0.008627626418326099,0.998
5,0.9868277616500855,0.009960648790922393,0.998
6,0.9798717647790909,0.014399834879907971,0.998
7,0.9723683314323426,0.013933222909342123,0.998
8,0.9629282307624817,0.019866656826604392,1.0
9,0.9544070183038712,0.019599820007319416,0.998
10,0.9406907008886337,0.023964603772026367,0.998
11,0.9326022551059723,0.026957307697132952,0.996
12,0.9154930547475815,0.0325276927637272,0.998
13,0.9013252049684525,0.03832569373495957,0.996
14,0.8849918661117554,0.04418776044363837,0.988
15,0.8689380061626434,0.05411287157166086,0.994
16,0.8547897592782975,0.05911835783869345,0.982
17,0.8294951958656311,0.07045680467390808,0.978
18,0.8156830644607544,0.08393721347786803,0.97
19,0.7879531095027924,0.09464304942855384,0.962
20,0.7678641523122788,0.11084349429233009,0.95
21,0.7410416269898414,0.12503289331684977,0.936
22,0.7224031530618668,0.14256084469403216,0.94
23,0.6814155133962632,0.15993130229610167,0.896
24,0.6623056592345238,0.18121048941667867,0.874
25,0.6295258465409279,0.19923810514796222,0.79
26,0.609486867159605,0.22231371930203903,0.734
27,0.5656334248781204,0.2449721317722627,0.672
28,0.5455316826403142,0.26525710742353464,0.624
29,0.5360158112049103,0.28965612413906167,0.566
30,0.46963027128577234,0.31231157066816356,0.538
