Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9994002845287323,8.468124867353275e-05,1.0
3,0.9978848588466644,0.00026873486114896124,1.0
4,0.9954299991130828,0.0006311359254398796,0.998
5,0.9919392281770706,0.0013875790152413827,1.0
6,0.9873916138410568,0.0025390640425521738,0.998
7,0.9818046630620957,0.004148807225596975,1.0
8,0.9751131229400635,0.00655540432426643,0.996
9,0.9684318723678589,0.009385406416656736,0.996
10,0.9593521386384964,0.013057326455864588,0.998
11,0.9489125896692276,0.017868376441943643,0.994
12,0.9387660517692565,0.023259978036560366,0.998
13,0.9252421098947525,0.030042605430545176,0.996
14,0.9105207840204239,0.03787816126571308,0.988
15,0.8966564829349518,0.047370252204554264,0.99
16,0.8782076224088669,0.05680430068945404,0.986
17,0.8620059992074967,0.06896091614090866,0.97
18,0.8401177361011505,0.08064394065345845,0.972
19,0.8332522701025009,0.0946961535364448,0.96
20,0.797391785979271,0.11235359709818722,0.948
21,0.7826016697883605,0.12770494633861654,0.94
22,0.753047520160675,0.14705968346390758,0.93
23,0.7261346181631089,0.16742539670658194,0.886
24,0.7064945420622826,0.18740576829958103,0.83
25,0.6747225494980812,0.20829298920742106,0.798
26,0.6478340026140214,0.23222389868834767,0.78
27,0.607691330909729,0.2568530826748551,0.718
28,0.5852167596518993,0.2832756470764032,0.614
29,0.5506205867230892,0.30725491231492685,0.6
30,0.5107077088952064,0.3324972756490733,0.53
