Severity,Mean,Std,Accuracy
1,0.9992670803855106,0.0015816337904591188,1.0
2,0.9977951393107943,0.0028971741432655455,1.0
3,0.995647976487656,0.004413563390162829,1.0
4,0.9929293616228679,0.006108461143251357,1.0
5,0.9897347809058444,0.007733888107342486,1.0
6,0.9861789825736118,0.00930517378564257,1.0
7,0.9822872092153397,0.010775906810470639,1.0
8,0.9782644127159533,0.01218524131108889,1.0
9,0.9740131746645656,0.013566204227574305,1.0
10,0.9696354011620717,0.014904525689869847,0.999
11,0.9652227263724096,0.016058951704502507,0.999
12,0.960702644779416,0.017135809854260345,0.999
13,0.9560569141618009,0.01812697357074446,0.999
14,0.9516299563746502,0.018981316703979876,0.998
15,0.9471896886575765,0.0198153614745758,0.998
16,0.9426949466762141,0.020503001043051205,0.997
17,0.938245897103083,0.021175545321815873,0.996
18,0.9338927242547818,0.021773200989576517,0.994
19,0.9296021869338971,0.022330196574679082,0.992
20,0.9253258970906805,0.022859241181598426,0.991
21,0.9211616396924448,0.02334380900194267,0.986
22,0.91708798256395,0.023811668111123657,0.984
23,0.9130797390727482,0.024227317448604707,0.98
24,0.9091321547479863,0.02463644265460499,0.978
25,0.905316534487006,0.025010935140262328,0.975
26,0.9014566206052563,0.025376648357296378,0.972
27,0.8978714414786606,0.025720617181707033,0.969
28,0.8942886040903486,0.026042918640380944,0.967
29,0.8907729905435972,0.026366414677421634,0.964
