Severity,Mean,Std,Accuracy,Time Taken
8.0,1.0,0.0,0.478,0.7179651260375977
8.0,1.0,0.0,0.47,0.661034107208252
8.0,1.0,0.0,0.488,0.9206831455230713
7.0,0.999576378941536,0.000449421702849326,0.48,0.888538122177124
7.0,0.9995784525871276,0.00042893674744561163,0.484,0.7517454624176025
7.0,0.9995449036359787,0.0006836639596832916,0.482,0.8819282054901123
7.0,0.9995525753498078,0.0006236698704755096,0.484,0.7078514099121094
7.0,0.9995532133579255,0.0006877883909972294,0.496,0.6338956356048584
6.0,0.997780415058136,0.0020313659156438006,0.47,0.6934878826141357
6.0,0.9976789284944534,0.002743181870503241,0.48,0.5969350337982178
6.0,0.997799119234085,0.0020782700155949066,0.498,0.6945123672485352
6.0,0.9977387875318527,0.0023092080557101527,0.462,0.8912954330444336
6.0,0.997693750500679,0.0025842563085473015,0.472,0.8243131637573242
5.0,0.9898154717683793,0.01580379668726277,0.458,0.6292319297790527
5.0,0.9903959747552872,0.011395683068595406,0.468,0.598625898361206
5.0,0.9904062657356262,0.01092849363214569,0.474,0.8425922393798828
5.0,0.9903872989416123,0.011875003042138578,0.474,0.6499333381652832
5.0,0.9903427778482438,0.01199501664455643,0.478,0.7012121677398682
4.0,0.965985253572464,0.027206118549641608,0.446,0.860368013381958
4.0,0.965815103650093,0.028246000697362033,0.424,0.802523136138916
4.0,0.9656415815353394,0.02746217801010979,0.426,0.8405382633209229
4.0,0.9659695123434067,0.02479222180164825,0.44,0.6251721382141113
4.0,0.966069700717926,0.0255873104030865,0.434,0.6481494903564453
3.0,0.8921639084815979,0.055291721868906914,0.366,0.6840794086456299
3.0,0.8930489029884339,0.05238568468965261,0.378,0.7712392807006836
3.0,0.893704156756401,0.05137495490079014,0.364,0.8234429359436035
3.0,0.8926216031908989,0.05393452695763207,0.372,0.635735034942627
3.0,0.8941488118171692,0.05258649852061074,0.364,0.6631984710693359
2.0,0.7092941807806492,0.10055628266754592,0.4,0.808556079864502
2.0,0.7101048364043235,0.09741588295649241,0.38,0.6326441764831543
2.0,0.7090389212369919,0.0984841417272955,0.378,0.6293351650238037
8.0,1.0,0.0,0.462,0.6169230937957764
8.0,1.0,0.0,0.5,0.6316342353820801
8.0,1.0,0.0,0.474,0.6348748207092285
7.0,0.9995592451095581,0.0006713908091761917,0.476,0.6562578678131104
7.0,0.9995582053661346,0.0005544108379959045,0.464,0.6210286617279053
7.0,0.9995574852228165,0.00092071315332161,0.486,0.6490468978881836
7.0,0.9995588594675064,0.0006957001346170495,0.506,0.6686151027679443
7.0,0.9995648233890534,0.0005799612965079028,0.466,0.6441802978515625
6.0,0.9977372282743454,0.0024035151851438566,0.476,0.6005864143371582
6.0,0.997760014295578,0.0023266585515771343,0.458,0.6087205410003662
6.0,0.9977821125984192,0.002307962809661212,0.482,0.670281171798706
6.0,0.9978317720890045,0.0019973860710069055,0.486,0.6237959861755371
6.0,0.9978264756202698,0.0019219131672866205,0.48,0.606579065322876
5.0,0.9902404822111129,0.01246247500980859,0.466,0.6345024108886719
5.0,0.9901469217538834,0.012935976707952917,0.46,0.6029560565948486
5.0,0.9901340366601944,0.012505189496575106,0.466,0.610023021697998
5.0,0.9901731450557709,0.012481994757950412,0.464,0.6504855155944824
5.0,0.9901614806652069,0.01298568348656829,0.472,0.7007226943969727
4.0,0.965415598154068,0.028432169214605906,0.424,0.6341090202331543
4.0,0.966103233218193,0.0268032043914039,0.402,0.6472263336181641
4.0,0.9650326719284058,0.02946032299822187,0.418,0.6171128749847412
4.0,0.965386632680893,0.025687491856237893,0.452,0.6466267108917236
4.0,0.9658724163770676,0.02626545237576848,0.436,0.641150951385498
3.0,0.8920983037948609,0.05456684689878033,0.364,0.8334896564483643
3.0,0.8929266699552536,0.0571249967705544,0.366,0.6296582221984863
3.0,0.8925944813489914,0.05434792771148261,0.37,0.6046268939971924
3.0,0.8916665700674057,0.05601708078702475,0.384,0.977963924407959
3.0,0.8928993292450905,0.05681180439169142,0.372,0.7532627582550049
2.0,0.7101476030349732,0.09969742627844155,0.4,0.8684747219085693
2.0,0.7078948532938957,0.10019796541546934,0.37,0.6031272411346436
2.0,0.7103363431096077,0.10121906198033302,0.376,1.028369426727295
