Severity,Mean,Std,Accuracy
1,1.0,0.0,0.998
2,1.0,0.0,1.0
3,1.0,0.0,1.0
4,0.512241347849369,0.008159125825293519,1.0
5,0.5121027929186821,0.008212989294215026,1.0
6,0.5122821969985962,0.008013796048509037,1.0
7,0.5122012383937836,0.007981088622209908,0.998
8,0.5121296968460083,0.00819231986244232,1.0
9,0.42682803094387056,0.008233829498741012,1.0
10,0.42717525792121885,0.008031249017077498,1.0
11,0.4270852609276772,0.008329409724805777,1.0
12,0.4271376714110374,0.008210759572457068,1.0
13,0.4269209677577019,0.007874529632103678,1.0
14,0.35599668431282044,0.008104741099552273,1.0
15,0.35608216768503187,0.008393144824041522,1.0
16,0.35603476780653,0.008252589259496184,1.0
17,0.3561530678272247,0.008026990973149769,1.0
18,0.3563097272515297,0.007956603055929622,1.0
19,0.2892768336236477,0.00846552844939368,1.0
20,0.28933702850341797,0.008284964785572562,1.0
21,0.2892300462424755,0.008491083364944814,0.998
22,0.2891447349488735,0.008307420028029316,1.0
23,0.2895925287008286,0.008346205831557544,1.0
24,0.22233822464942932,0.008633114007124128,0.982
25,0.22210610762238503,0.008609235626390616,0.986
26,0.22218165692687034,0.008696251137189063,0.986
27,0.22196600478887557,0.008847484294054174,0.984
28,0.22231793206930162,0.008478247696931118,0.99
29,0.14970637580752372,0.009375774840512685,0.864
30,0.1496618076711893,0.00946423190299277,0.87
