Severity,Mean,Std,Accuracy
1,0.9999752604961395,0.0004325565923276304,1.0
2,0.9998958333730698,0.0014327477959783373,1.0
3,0.9998997396230698,0.0015541602681985124,1.0
4,0.9961577641963959,0.008631246158021477,0.998
5,0.9955778421163559,0.011022750837429745,1.0
6,0.9958620257377625,0.010267210650524078,1.0
7,0.9957674154043198,0.009563494250076039,1.0
8,0.9960040922164917,0.009603190282017572,1.0
9,0.9867323715686798,0.02029365703940951,1.0
10,0.9873682968616485,0.0198937241012311,1.0
11,0.9878734813928605,0.0182873205696391,1.0
12,0.9869044609069825,0.02134824439244758,0.998
13,0.98695328104496,0.0213519750752788,1.0
14,0.9680040732622147,0.03600178940791929,1.0
15,0.9668720780611039,0.038693118573648926,1.0
16,0.9668820679187775,0.038463309098696705,1.0
17,0.9660846252441406,0.037538180354557804,1.0
18,0.9670177847146988,0.03904647388638123,1.0
19,0.9221184248924256,0.05581039809013236,0.998
20,0.9236984976530075,0.0565927188325933,1.0
21,0.9246979739665985,0.053973586674037656,0.998
22,0.9219670373201371,0.059967543430280226,1.0
23,0.9235527619123459,0.05383675017217601,1.0
24,0.8375515607595444,0.07228590438428349,0.988
25,0.8367188151478767,0.07357653710750414,0.988
26,0.8353679799437523,0.07511818364149904,0.99
27,0.8338419939875603,0.07480766504687959,0.986
28,0.83534686678648,0.07457390596297865,0.992
29,0.6807595229744912,0.10061921879954243,0.864
30,0.6821420936584472,0.10176768037002573,0.872
