Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,1.0,0.0,1.0
3,1.0,0.0,1.0
4,0.9995824426412583,0.00044789091729273363,1.0
5,0.9995566618442535,0.0006901562095057644,1.0
6,0.9995682183504104,0.0005299601090785998,1.0
7,0.9995672554969788,0.0004591247896506661,0.998
8,0.9995613354444504,0.0005760526059264324,1.0
9,0.9977465265989304,0.002522410133363246,1.0
10,0.9976184961795806,0.003196340233990432,1.0
11,0.9977559592723847,0.0022550957749517485,1.0
12,0.9977354658842087,0.0025058867103707433,1.0
13,0.9977678726911545,0.002348012966639463,1.0
14,0.9899610497951508,0.015305117207766296,1.0
15,0.9903068990707398,0.012627824722738469,1.0
16,0.9898631533384323,0.015375999223238072,1.0
17,0.9903476034402847,0.010675589087764155,1.0
18,0.9906119601726532,0.009642397370184927,1.0
19,0.9662020843029022,0.02384713623162024,1.0
20,0.9652112731933594,0.028781401299993375,1.0
21,0.9655693786144257,0.027241124827153636,0.998
22,0.9655910512208938,0.029308272773844273,1.0
23,0.9660570275783539,0.024286942119110807,0.998
24,0.8926060541868209,0.05525254021399624,0.99
25,0.8926922626495362,0.05439329396730864,0.986
26,0.8923231642246247,0.05638481670822495,0.99
27,0.8920773379802703,0.05405130766977019,0.988
28,0.8923854416608811,0.05388114435443001,0.992
29,0.7093257986307144,0.0988576748957198,0.862
30,0.7061282936930656,0.10159395035612664,0.86
