Severity,Mean,Std,Accuracy
1,0.9979333515167237,0.016017683648697257,1.0
2,0.9988610318899155,0.006331847652717121,1.0
3,0.9985204252004624,0.008619846423603956,1.0
4,0.9974198099374771,0.010779296588951492,1.0
5,0.9972384592294693,0.016372007025488747,1.0
6,0.9974906315803528,0.012645017229043648,1.0
7,0.997360922217369,0.013335740488659509,1.0
8,0.9972078733444214,0.014030735055772871,1.0
9,0.9941677097082138,0.01548357276893485,1.0
10,0.9943551571369171,0.016657652724447896,1.0
11,0.994723828792572,0.01325403367526475,1.0
12,0.9948513830900192,0.011335017944735919,1.0
13,0.9941265505552291,0.018591936730049614,1.0
14,0.984212040424347,0.024508112370669972,1.0
15,0.9844422804117203,0.02408278969974356,1.0
16,0.9849636059999466,0.021474727871726947,1.0
17,0.9845294663906098,0.023049213574325347,1.0
18,0.9842439653873444,0.0250093780392408,1.0
19,0.9542276610136032,0.04482932231929357,1.0
20,0.9546559678316117,0.04282662204835118,1.0
21,0.9550015078783035,0.041943933715508024,1.0
22,0.9549453674554825,0.03946558971829165,1.0
23,0.9547379773855209,0.040247478839651844,1.0
24,0.8730801540613174,0.06890909110251602,0.98
25,0.8765649880170823,0.0651015252887068,0.992
26,0.8748279786109925,0.06938110141798828,0.984
27,0.8749625766277314,0.06981021463912655,0.986
28,0.8740460063219071,0.0658828953284847,0.988
29,0.6834467523097992,0.10923608852554609,0.87
30,0.6838963693678379,0.10937710746771033,0.846
