Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,1.0,0.0,1.0
3,1.0,0.0,1.0
4,0.8450272083282471,0.09223102033138275,1.0
5,0.8450272083282471,0.09223102033138275,1.0
6,0.8450272083282471,0.09223102033138275,1.0
7,0.8450272083282471,0.09223102033138275,1.0
8,0.8450272083282471,0.09223102033138275,1.0
9,0.7579496502876282,0.06901037693023682,1.0
10,0.7579496502876282,0.06901037693023682,1.0
11,0.7579496502876282,0.06901037693023682,1.0
12,0.7579496502876282,0.06901037693023682,1.0
13,0.7579496502876282,0.06901037693023682,1.0
14,0.7017971277236938,0.0648888349533081,1.0
15,0.7017971277236938,0.0648888349533081,1.0
16,0.7017971277236938,0.0648888349533081,1.0
17,0.7017971277236938,0.0648888349533081,1.0
18,0.7017971277236938,0.0648888349533081,1.0
19,0.6451963186264038,0.06017223000526428,1.0
20,0.6451963186264038,0.06017223000526428,1.0
21,0.6451963186264038,0.06017223000526428,1.0
22,0.6451963186264038,0.06017223000526428,1.0
23,0.6451963186264038,0.06017223000526428,1.0
24,0.6129019856452942,0.06021116301417351,0.99
25,0.6129019856452942,0.06021116301417351,0.99
26,0.6129019856452942,0.06021116301417351,0.99
27,0.6129019856452942,0.06021116301417351,0.99
28,0.6129019856452942,0.06021116301417351,0.99
29,0.5435214638710022,0.05827278271317482,0.866
30,0.5435214638710022,0.05827278271317482,0.866
