Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,1.0,0.0,1.0
3,1.0,0.0,1.0
4,0.999813495889754,0.0002380506871566527,1.0
5,0.9998035708702304,0.000376958567632236,1.0
6,0.9998149259791393,0.00024715269257998885,1.0
7,0.9998177918410488,0.00021410171889149054,1.0
8,0.9998109916024407,0.0002684798108373798,1.0
9,0.999011266266094,0.0011924315047594537,1.0
10,0.9990006738674106,0.0013332270860603411,0.998
11,0.9990007981320878,0.0011711027528581522,1.0
12,0.9990595035465293,0.0008805823009022673,1.0
13,0.9990257545607285,0.001089405869599092,1.0
14,0.9957134905628643,0.006351049215341127,1.0
15,0.9956402707769516,0.006415580632958051,0.998
16,0.9957716538549771,0.005775329032301513,1.0
17,0.995672095746341,0.006874968631469531,1.0
18,0.9958823028991652,0.0059148633214399105,1.0
19,0.9851659460092573,0.01377192504531511,1.0
20,0.9849499519581102,0.013349131016739407,0.998
21,0.9851485853801705,0.01248972255472311,1.0
22,0.9849691496918658,0.012746195768148134,0.996
23,0.9852111254479516,0.011581490532134956,0.998
24,0.9538750659910133,0.023462987305807825,0.98
25,0.9532494121686819,0.02572574319364132,0.982
26,0.9535519085812066,0.023941204029428422,0.984
27,0.9536568949343719,0.023447862453362583,0.984
28,0.9535408214181095,0.02476850117303883,0.986
29,0.8693804331820432,0.04670363145923373,0.868
30,0.8694738690367856,0.04743324621616708,0.856
