Severity,Mean,Std,Accuracy
1,1.0,0.0,0.998
2,1.0,0.0,1.0
3,1.0,0.0,1.0
4,0.9996455688476562,0.0002914958045135855,1.0
5,0.9996408212184906,0.0002809283478303088,0.998
6,0.9996336678266525,0.0003074820372785606,1.0
7,0.9996335588693619,0.00031126205110245476,1.0
8,0.9996403796672821,0.0002913320365736722,1.0
9,0.9981697562932969,0.0015251231960046086,1.0
10,0.9982065365314484,0.0014884743081547012,1.0
11,0.9981847500801087,0.0015269286556966783,1.0
12,0.9981694546937943,0.0014915853814591042,1.0
13,0.9981945819854736,0.0014985453224951343,1.0
14,0.9927963908910752,0.005600536435431181,1.0
15,0.9928347158432007,0.00544521842826204,1.0
16,0.9927327406406402,0.005617881049732325,1.0
17,0.9926823471784592,0.005708335083408121,0.998
18,0.9927932016849518,0.005552154481035263,1.0
19,0.9743411256074905,0.017771439337955098,1.0
20,0.9742327010631562,0.01767050608078191,1.0
21,0.9745742243528366,0.017355467124704958,1.0
22,0.9741758420467377,0.018090481370297486,1.0
23,0.97470334649086,0.017415224482241858,0.998
24,0.9239931312799454,0.039683745143818526,0.98
25,0.9239723567962647,0.03975270533620367,0.992
26,0.9236850080490112,0.04076808462485178,0.986
27,0.9243136016130448,0.03987378168866999,0.992
28,0.923245442867279,0.04017100110236089,0.992
29,0.8062285906076432,0.07535922847725209,0.868
30,0.8079913296103477,0.0733496109697164,0.87
