Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,1.0,0.0,1.0
3,0.9997708943278463,0.0003134450459368807,1.0
4,0.9997708943278463,0.0003134450459368807,1.0
5,0.9997708943278463,0.0003134450459368807,1.0
6,0.9997708943278463,0.0003134450459368807,1.0
7,0.9997708943278463,0.0003134450459368807,1.0
8,0.9988109480024764,0.0016534197873901034,1.0
9,0.9988109480024764,0.0016534197873901034,1.0
10,0.9988109480024764,0.0016534197873901034,1.0
11,0.9988109480024764,0.0016534197873901034,1.0
12,0.9988109480024764,0.0016534197873901034,1.0
13,0.9951559525948851,0.005239920058544103,0.999
14,0.9951559525948851,0.005239920058544103,0.999
15,0.9951559525948851,0.005239920058544103,0.999
16,0.9951559525948851,0.005239920058544103,0.999
17,0.9951559525948851,0.005239920058544103,0.999
18,0.9831250542492721,0.011865222272478002,0.99
19,0.9831250542492721,0.011865222272478002,0.99
20,0.9831250542492721,0.011865222272478002,0.99
21,0.9831250542492721,0.011865222272478002,0.99
22,0.9831250542492721,0.011865222272478002,0.99
23,0.9483376962266779,0.025223950434924466,0.916
24,0.9483376962266779,0.025223950434924466,0.916
25,0.9483376962266779,0.025223950434924466,0.916
26,0.9483376962266779,0.025223950434924466,0.916
27,0.9483376962266779,0.025223950434924466,0.916
28,0.8609202424354583,0.0471461235913189,0.777
29,0.8609202424354583,0.0471461235913189,0.777
