Severity,Mean,Std,Accuracy,Time Taken
-0.0,1.0,0.0,1.0,0.13560080528259277
-4.5,0.9985000000000002,1.111334915764742e-16,0.994,0.1535797119140625
-9.0,0.997,0.0,0.974,0.15293669700622559
-13.5,0.9955,0.0,0.902,0.16021728515625
-18.0,0.9939999999999999,1.111334915764742e-16,0.734,0.161604642868042
-22.5,0.9924999999999999,1.111334915764742e-16,0.556,0.1575300693511963
-27.0,0.9909999999999998,2.222669831529484e-16,0.458,0.16934514045715332
-31.5,0.9894999999999998,2.222669831529484e-16,0.398,0.16941070556640625
-36.0,0.9879999999999997,3.3340047472942265e-16,0.352,0.16112399101257324
-40.5,0.9864999999999998,2.222669831529484e-16,0.358,0.1617603302001953
-45.0,0.9849999999999998,2.222669831529484e-16,0.352,0.16836166381835938
-49.5,0.9834999999999998,2.222669831529484e-16,0.334,0.18181419372558594
-54.0,0.9819999999999998,2.222669831529484e-16,0.294,0.16493916511535645
-58.5,0.9804999999999998,2.222669831529484e-16,0.242,0.1664261817932129
-63.0,0.9789999999999996,3.3340047472942265e-16,0.26,0.17052364349365234
-67.5,0.9774999999999996,4.445339663058968e-16,0.256,0.1731100082397461
-72.0,0.9759999999999995,4.445339663058968e-16,0.286,0.17246198654174805
-76.5,0.9745000000000005,4.445339663058968e-16,0.324,0.16442251205444336
-81.0,0.9730000000000003,3.3340047472942265e-16,0.346,0.150848388671875
-85.5,0.9715000000000003,2.222669831529484e-16,0.412,0.1776866912841797
-90.0,0.9700000000000002,2.222669831529484e-16,0.418,0.18088722229003906
-94.5,0.9640000000000002,2.222669831529484e-16,0.358,0.18813490867614746
-99.0,0.958,0.0,0.334,0.19254803657531738
-103.5,0.952,0.0,0.308,0.18111610412597656
-108.0,0.9459999999999997,2.222669831529484e-16,0.238,0.14616155624389648
-112.5,0.9399999999999995,4.445339663058968e-16,0.218,0.14620399475097656
-117.0,0.9339999999999997,3.3340047472942265e-16,0.21,0.19254612922668457
-121.5,0.9314999999999999,1.111334915764742e-16,0.192,0.19066405296325684
-126.0,0.9360000000000002,1.111334915764742e-16,0.22,0.1403975486755371
-130.5,0.9405,0.0,0.204,0.14952683448791504
-135.0,0.9450000000000001,1.111334915764742e-16,0.24,0.206953763961792
0.0,1.0,0.0,0.998,0.1450667381286621
4.5,0.9985000000000002,1.111334915764742e-16,0.998,0.15798640251159668
9.0,0.997,0.0,0.966,0.1688823699951172
13.5,0.9955,0.0,0.9,0.15239167213439941
18.0,0.9939999999999999,1.111334915764742e-16,0.75,0.16330432891845703
22.5,0.9924999999999999,1.111334915764742e-16,0.542,0.15022063255310059
27.0,0.9909999999999998,2.222669831529484e-16,0.452,0.16759490966796875
31.5,0.9894999999999998,2.222669831529484e-16,0.384,0.14340734481811523
36.0,0.9879999999999997,3.3340047472942265e-16,0.382,0.15210175514221191
40.5,0.9864999999999998,2.222669831529484e-16,0.39,0.15944433212280273
45.0,0.9849999999999998,2.222669831529484e-16,0.354,0.17796850204467773
49.5,0.9834999999999998,2.222669831529484e-16,0.332,0.17219042778015137
54.0,0.9819999999999998,2.222669831529484e-16,0.28,0.14642882347106934
58.5,0.9804999999999998,2.222669831529484e-16,0.262,0.16300296783447266
63.0,0.9789999999999996,3.3340047472942265e-16,0.244,0.17402148246765137
67.5,0.9774999999999996,4.445339663058968e-16,0.252,0.1801152229309082
72.0,0.9759999999999995,4.445339663058968e-16,0.27,0.19081926345825195
76.5,0.9745000000000005,4.445339663058968e-16,0.324,0.18828201293945312
81.0,0.9730000000000003,3.3340047472942265e-16,0.358,0.1749875545501709
85.5,0.9715000000000003,2.222669831529484e-16,0.372,0.18871140480041504
90.0,0.9700000000000002,2.222669831529484e-16,0.392,0.171006441116333
94.5,0.9640000000000002,2.222669831529484e-16,0.358,0.18961095809936523
99.0,0.958,0.0,0.322,0.2416090965270996
103.5,0.952,0.0,0.302,0.2806117534637451
108.0,0.9459999999999997,2.222669831529484e-16,0.246,0.20134687423706055
112.5,0.9399999999999995,4.445339663058968e-16,0.21,0.24983668327331543
117.0,0.9339999999999997,3.3340047472942265e-16,0.214,0.2027883529663086
121.5,0.9314999999999999,1.111334915764742e-16,0.2,0.19192981719970703
126.0,0.9360000000000002,1.111334915764742e-16,0.202,0.19999408721923828
130.5,0.9405,0.0,0.22,0.20851469039916992
135.0,0.9450000000000001,1.111334915764742e-16,0.232,0.19924283027648926
