Severity,Mean,Std,Accuracy,Time Taken
-0.0,1.0,0.0,1.0,0.08019900321960449
-4.5,1.0,0.0,0.996,0.087646484375
-9.0,1.0,0.0,0.96,0.08414125442504883
-13.5,1.0,0.0,0.904,0.08398008346557617
-18.0,1.0,0.0,0.746,0.08513641357421875
-22.5,1.0,0.0,0.516,0.08389973640441895
-27.0,1.0,0.0,0.472,0.08489370346069336
-31.5,1.0,0.0,0.388,0.10311222076416016
-36.0,1.0,0.0,0.33,0.10027456283569336
-40.5,1.0,0.0,0.372,0.09847259521484375
-45.0,1.0,0.0,0.364,0.09993338584899902
-49.5,1.0,0.0,0.304,0.10271978378295898
-54.0,1.0,0.0,0.306,0.10186266899108887
-58.5,1.0,0.0,0.25,0.09300541877746582
-63.0,1.0,0.0,0.242,0.0997159481048584
-67.5,1.0,0.0,0.228,0.0850059986114502
-72.0,1.0,0.0,0.276,0.09608840942382812
-76.5,1.0,0.0,0.33,0.09567809104919434
-81.0,1.0,0.0,0.36,0.08530497550964355
-85.5,1.0,0.0,0.354,0.0895538330078125
-90.0,1.0,0.0,0.394,0.09482049942016602
-94.5,1.0,0.0,0.368,0.10168766975402832
-99.0,1.0,0.0,0.31,0.16373920440673828
-103.5,1.0,0.0,0.312,0.09539127349853516
-108.0,1.0,0.0,0.266,0.09592032432556152
-112.5,1.0,0.0,0.228,0.10498189926147461
-117.0,1.0,0.0,0.218,0.09255552291870117
-121.5,1.0,0.0,0.21,0.09487295150756836
-126.0,1.0,0.0,0.216,0.09776687622070312
-130.5,1.0,0.0,0.236,0.09073376655578613
-135.0,0.99,0.0,0.254,0.09436416625976562
