Severity,Mean,Std,Accuracy,Time Taken
0.0,0.9999999440317406,3.3340047472942265e-16,0.478,0.08352541923522949
4.5,0.9874762548981175,2.222669831529484e-16,0.4,0.11000370979309082
9.0,0.9515507006463008,2.222669831529484e-16,0.334,0.14220213890075684
13.5,0.8966452368024665,2.222669831529484e-16,0.192,0.1500101089477539
18.0,0.8291228717274561,2.222669831529484e-16,0.17,0.16370606422424316
22.5,0.7560789208725425,2.222669831529484e-16,0.14,0.14708304405212402
27.0,0.684133977710095,0.0,0.114,0.15132904052734375
31.5,0.618506622118683,2.222669831529484e-16,0.13,0.14550447463989258
36.0,0.5625267055976726,2.222669831529484e-16,0.128,0.10296869277954102
40.5,0.5176052973512809,0.0,0.13,0.10805463790893555
45.0,0.4835578446898924,5.55667457882371e-17,0.118,0.09086847305297852
49.5,0.45911569338569713,5.55667457882371e-17,0.12,0.10930609703063965
54.0,0.4424624372345765,5.55667457882371e-17,0.104,0.09795904159545898
58.5,0.4316773352446354,5.55667457882371e-17,0.11,0.09340643882751465
63.0,0.42503038603453336,1.111334915764742e-16,0.108,0.09379935264587402
67.5,0.42112834261549037,1.6670023736471132e-16,0.108,0.10418248176574707
72.0,0.4189448476383941,1.111334915764742e-16,0.12,0.10520744323730469
76.5,0.4177794839000483,0.0,0.14,0.12796425819396973
81.0,0.41718596702490085,0.0,0.148,0.11356782913208008
85.5,0.4168974015410443,1.6670023736471132e-16,0.132,0.1579592227935791
90.0,0.4167634200478486,5.55667457882371e-17,0.16,0.13840174674987793
94.5,0.41670399613096354,0.0,0.148,0.14574408531188965
99.0,0.41667881341954593,0.0,0.144,0.14476490020751953
103.5,0.416668614308989,5.55667457882371e-17,0.14,0.1447000503540039
108.0,0.416664665898839,1.111334915764742e-16,0.134,0.09824204444885254
112.5,0.41666320455073885,1.111334915764742e-16,0.106,0.14776921272277832
117.0,0.41666268739748186,1.111334915764742e-16,0.098,0.0949559211730957
121.5,0.4166625123828175,0.0,0.098,0.10006594657897949
126.0,0.41666245573692434,5.55667457882371e-17,0.096,0.1714489459991455
130.5,0.41666243820033505,1.6670023736471132e-16,0.098,0.14127707481384277
135.0,0.4166624330070292,5.55667457882371e-17,0.112,0.15355920791625977
-0.0,0.9999999440317406,3.3340047472942265e-16,0.47,0.1033329963684082
-4.5,0.9875352221442365,2.222669831529484e-16,0.39,0.14101243019104004
-9.0,0.9516612183530166,2.222669831529484e-16,0.314,0.11391806602478027
-13.5,0.8967940043357321,4.445339663058968e-16,0.212,0.10184597969055176
-18.0,0.8292933330887174,1.111334915764742e-16,0.184,0.1329820156097412
-22.5,0.7562542721904638,2.222669831529484e-16,0.136,0.09517955780029297
-27.0,0.6842998055199028,2.222669831529484e-16,0.12,0.10521340370178223
-31.5,0.6186526262867885,0.0,0.114,0.18274521827697754
-36.0,0.5626472958811808,2.222669831529484e-16,0.124,0.14470601081848145
-40.5,0.517699186190348,1.111334915764742e-16,0.12,0.14133238792419434
-45.0,0.4836269823385644,2.222669831529484e-16,0.122,0.1389923095703125
-49.5,0.45916395973500984,1.6670023736471132e-16,0.118,0.1015164852142334
-54.0,0.4424944382816733,1.6670023736471132e-16,0.11,0.10002017021179199
-58.5,0.43169751200737055,5.55667457882371e-17,0.114,0.11319756507873535
-63.0,0.42504249634780045,5.55667457882371e-17,0.108,0.10303330421447754
-67.5,0.421135267807566,5.55667457882371e-17,0.12,0.09141325950622559
-72.0,0.41894862308023756,5.55667457882371e-17,0.12,0.10364413261413574
-76.5,0.41778144725117816,5.55667457882371e-17,0.142,0.09329390525817871
-81.0,0.41718694137902756,1.111334915764742e-16,0.148,0.11016082763671875
-85.5,0.41689786316379934,1.111334915764742e-16,0.146,0.09933686256408691
-90.0,0.4167636289038228,0.0,0.146,0.10313940048217773
-94.5,0.41670408639474327,1.6670023736471132e-16,0.138,0.09201669692993164
-99.0,0.4166788506920209,5.55667457882371e-17,0.16,0.0957193374633789
-103.5,0.4166686290171622,1.111334915764742e-16,0.144,0.16576337814331055
-108.0,0.41666467144639247,1.111334915764742e-16,0.114,0.10031723976135254
-112.5,0.41666320655098593,1.111334915764742e-16,0.13,0.10042858123779297
-117.0,0.4166626880870297,5.55667457882371e-17,0.098,0.10522031784057617
-121.5,0.4166625126101158,0.0,0.09,0.11001300811767578
-126.0,0.4166624558085761,1.111334915764742e-16,0.106,0.14278435707092285
-130.5,0.41666243822193677,2.222669831529484e-16,0.102,0.11726593971252441
-135.0,0.41666243301325856,5.55667457882371e-17,0.12,0.09892153739929199
