Severity,Mean,Std,Accuracy
1,1.0,0.0,0.998
2,0.1668723495155573,0.019218713060578155,0.99
3,0.13781101049482822,0.018292054277203793,0.964
4,0.12412737289071082,0.017940712542911113,0.91
5,0.11469882449507714,0.017444872255742663,0.742
6,0.10871809288859367,0.017487107566630265,0.564
7,0.10480660702288151,0.017086733501558114,0.462
8,0.1011639937236905,0.017344623853807216,0.394
9,0.09921011269837618,0.01712743840102018,0.354
10,0.09749452168494463,0.016896524469718722,0.38
11,0.09586575094610453,0.017245297568205344,0.368
12,0.09522694893181324,0.01696422435436459,0.344
13,0.09470551928132773,0.01699081113619258,0.286
14,0.09378585115075111,0.01702039909024029,0.244
15,0.09402630572021008,0.017352813507791564,0.254
16,0.09405587473511696,0.01724371074684285,0.246
17,0.09387441359460354,0.017136850700813118,0.276
18,0.09460289447009564,0.017121823091541682,0.306
19,0.09468383410573006,0.017666286961894817,0.37
20,0.09396795889735222,0.018092578971136416,0.374
21,0.09313793858885765,0.018732423732350564,0.382
22,0.09220630463212728,0.017575119316651157,0.368
23,0.09108859431743623,0.017535177917258914,0.316
24,0.09001173138618469,0.0174909774431457,0.272
25,0.08954837381094694,0.01776939172307391,0.25
26,0.08899008966237307,0.01768212325643483,0.21
27,0.0881304584518075,0.018222381254228683,0.2
28,0.08711836384236812,0.017390303262965597,0.198
29,0.08652425529062747,0.017521228191864035,0.198
30,0.08598478835821152,0.017526895449027788,0.232
