Severity,Mean,Std,Accuracy
1,0.9998841145038605,0.0013797332340303218,0.998
2,0.3141316754668951,0.06212711492390618,0.996
3,0.052263301377999595,0.04813230688828387,0.97
4,0.020516976972692644,0.03921547293393111,0.912
5,0.00214419361527689,0.03439651261791897,0.736
6,0.006548308212251868,0.03023044723559133,0.542
7,0.004200698783748521,0.02719936074887831,0.452
8,0.00016625280489097349,0.028415859393014335,0.4
9,0.0033114849465491715,0.02849514112584367,0.332
10,-0.0017037501696322579,0.026174282044617983,0.392
11,0.00037293407302786365,0.026506062518222625,0.344
12,-0.00375210784576484,0.0270581795207436,0.32
13,-0.00423707458411809,0.026060743313993655,0.272
14,0.002232319561568147,0.02643611674582298,0.254
15,0.002431402784277452,0.027452400920097413,0.234
16,0.0017841216092056129,0.02838339026544573,0.244
17,0.004871941608529596,0.028190136524289283,0.274
18,0.0018307766548241488,0.030466833945223787,0.32
19,0.0036229479128342063,0.033804644135722754,0.378
20,0.008412618808390107,0.0466826667285355,0.388
21,0.012614431762456661,0.08600652838285029,0.37
22,0.007929361700778827,0.04202418136113773,0.372
23,0.00545753308867279,0.03393204495383981,0.348
24,0.004099057391589213,0.032138219304493745,0.296
25,0.0019508907904000807,0.030418097035946924,0.244
26,0.0035564480011720007,0.02810720764582797,0.224
27,0.0010735355409560725,0.026583259489401254,0.22
28,0.0038482478149526288,0.027597503951983886,0.216
29,-0.000901362886044808,0.027633699277637855,0.2
30,0.002812997396104038,0.028089482533685952,0.216
