Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.7829784606695175,0.046382612160748155,0.998
3,0.5751254562735557,0.07167151025207093,0.97
4,0.41130047747492793,0.08345365583974586,0.896
5,0.30506084632873537,0.09053249662380183,0.748
6,0.2305786516290391,0.08783399132234307,0.564
7,0.19315274454653264,0.0842391323503677,0.464
8,0.15887093285098672,0.08360199571016369,0.402
9,0.13321930738462834,0.07955226731528788,0.374
10,0.11828137503238395,0.07485961120603973,0.344
11,0.10523427139397244,0.07683921849151386,0.36
12,0.09390136597829406,0.07417179701404625,0.326
13,0.08695190979693143,0.07141711248833119,0.3
14,0.08081430584460031,0.07230880358197397,0.242
15,0.08000739646144212,0.07132271785147141,0.234
16,0.07146817750058836,0.07046815593982682,0.246
17,0.07089113177737454,0.06625407169031508,0.27
18,0.06833129180653487,0.06888356602999877,0.318
19,0.06379594774346332,0.06388226957171454,0.344
20,0.05876710298463877,0.06837282442938225,0.384
21,0.06533736997778761,0.06575110643594828,0.404
22,0.05983545415912522,0.06427230776038625,0.418
23,0.058793668262957,0.06418727822921948,0.374
24,0.05611084319226211,0.06383192563493859,0.288
25,0.05020027328125434,0.06406456538226463,0.246
26,0.052655238873830966,0.061527054168749665,0.206
27,0.04575452144409064,0.062313258539311536,0.202
28,0.04566491461996338,0.06155879697884236,0.202
29,0.04703919086696987,0.06325526759609175,0.216
30,0.0444007629386324,0.06660680783950663,0.23
