Severity,Mean,Std,Accuracy
1,0.9978726111650467,0.015584553297416724,0.998
2,0.7603686105012893,0.048429926183008266,0.988
3,0.5429557393193245,0.07095610691004169,0.96
4,0.3665239627659321,0.08235413566730955,0.918
5,0.25794051026552917,0.0839871329418999,0.712
6,0.19003404556168244,0.07938718770600184,0.578
7,0.14311472437906195,0.08060412758668135,0.432
8,0.11282471860924852,0.07412249215423414,0.41
9,0.08769514492165763,0.0732072323897768,0.398
10,0.07630687241556007,0.06940883229304474,0.348
11,0.058239677927893356,0.065465986172049,0.376
12,0.05300130127603188,0.06856635383167149,0.328
13,0.044553660120331184,0.06620983018833941,0.276
14,0.04075500532542355,0.06245311289804486,0.24
15,0.04066261373541784,0.06501957349508783,0.242
16,0.028506403094892448,0.061585824257838484,0.238
17,0.0304107004878897,0.06160383394132644,0.274
18,0.02848739856731845,0.06661288347839472,0.326
19,0.026475460423025652,0.05835392169866956,0.356
20,0.02497133189343731,0.06317581571914377,0.36
21,0.02096527272404637,0.06440314569893558,0.404
22,0.021984435241962273,0.06124418658120062,0.362
23,0.017426195642139646,0.06243904160751727,0.338
24,0.016751039956237945,0.05969986384242543,0.302
25,0.019488371920422652,0.060348559230957624,0.24
26,0.010196683001726341,0.06159220018724575,0.208
27,0.01254382029021508,0.05790087959213235,0.22
28,0.0064266050847945734,0.058328792238604314,0.204
29,0.015567120676045307,0.06172476680626733,0.204
30,0.00492463205481181,0.05889754135556612,0.23
