Severity,Mean,Std,Accuracy,Time Taken
0.0,0.9999983413219452,9.485174125778767e-07,1.0,0.1477055549621582
4.5,0.9137993945479393,0.03110828635017987,0.996,0.17156219482421875
9.0,0.8396129117310047,0.04881599879281732,0.968,0.14471983909606934
13.5,0.7873849913328886,0.056849009017056945,0.898,0.14847064018249512
18.0,0.7429965942283161,0.06509024507405768,0.734,0.18275785446166992
22.5,0.7132395328022539,0.06680304150444785,0.578,0.20041418075561523
27.0,0.6934485871451906,0.06727931793623936,0.448,0.22118711471557617
31.5,0.6699647164097987,0.0695789963823953,0.42,0.2251110076904297
36.0,0.6557407435774804,0.07226754196489861,0.372,0.20712685585021973
40.5,0.6474551580019761,0.07273058049479085,0.362,0.3079659938812256
45.0,0.634919196896255,0.07045683183062036,0.358,0.3257791996002197
49.5,0.6253466939097271,0.07059204840260018,0.318,0.2916891574859619
54.0,0.6199599744360894,0.06980683335110585,0.314,0.20897197723388672
58.5,0.6146172683676705,0.06878425512756553,0.246,0.21233010292053223
63.0,0.6077519621059764,0.0701037593525196,0.242,0.28223562240600586
67.5,0.603553025490488,0.06969779451503161,0.248,0.2304983139038086
72.0,0.5997694895072345,0.06970285292102626,0.246,0.271899938583374
76.5,0.594165690644586,0.07045619823193133,0.318,0.2019796371459961
81.0,0.5878791704362957,0.06855919233366044,0.334,0.2422783374786377
85.5,0.5780833722132956,0.0682110861966025,0.352,0.2522716522216797
90.0,0.5573460606640438,0.07504521704959698,0.408,0.2277381420135498
94.5,0.5638643024825724,0.07098529011311602,0.366,0.20604896545410156
99.0,0.5612095254568849,0.0754295405235754,0.316,0.2583045959472656
103.5,0.558023591479403,0.07497654794322707,0.304,0.3224177360534668
108.0,0.5537856213750784,0.07535232174059109,0.232,0.2634255886077881
112.5,0.5548224613226485,0.07821104170035023,0.218,0.2060699462890625
117.0,0.5453523949526716,0.07773532514253542,0.22,0.21343231201171875
121.5,0.5473596076894318,0.08050870419233787,0.18,0.2583003044128418
126.0,0.5452923912680125,0.08268383285788657,0.218,0.2606935501098633
130.5,0.5368896509606856,0.08457792597409623,0.234,0.18681812286376953
135.0,0.5383599009605823,0.08723419610617912,0.242,0.24790716171264648
-0.0,0.9999983003139495,8.733720965055548e-07,1.0,0.28438615798950195
-4.5,0.9142343447804451,0.030092874685732043,0.994,0.19512152671813965
-9.0,0.8407877398133278,0.047945880253135814,0.97,0.2642860412597656
-13.5,0.7860420347899199,0.05927168757959741,0.906,0.26138758659362793
-18.0,0.7455830090269446,0.06253504061155722,0.74,0.26299381256103516
-22.5,0.7138496093363501,0.06601182656913242,0.566,0.2335526943206787
-27.0,0.6901542330430821,0.0689152432634356,0.456,0.21383929252624512
-31.5,0.6718934042416513,0.07086948741649372,0.394,0.2579691410064697
-36.0,0.6577394524789415,0.06794021346622159,0.354,0.2601301670074463
-40.5,0.6453220253944164,0.07012859028499784,0.368,0.26122045516967773
-45.0,0.6340759680350311,0.0720741892964826,0.362,0.2359769344329834
-49.5,0.6283370412174554,0.06914296083419334,0.318,0.20429635047912598
-54.0,0.6202442026577192,0.06935738786478109,0.3,0.2596268653869629
-58.5,0.6170778317829827,0.0676351892414568,0.248,0.26722145080566406
-63.0,0.6076549954463262,0.0720260513059783,0.23,0.28716611862182617
-67.5,0.6049043464581482,0.06658729575494951,0.222,0.2652246952056885
-72.0,0.5994958950527943,0.06988633667076313,0.268,0.28076863288879395
-76.5,0.6010202827700414,0.06958685889929747,0.362,0.25917911529541016
-81.0,0.5885429972053972,0.06870162443990137,0.36,0.21709084510803223
-85.5,0.5793925584973767,0.07145463990458753,0.356,0.2718467712402344
-90.0,0.5543079671336454,0.07399188747373063,0.412,0.18675947189331055
-94.5,0.556576000405592,0.07211131642522825,0.366,0.20868849754333496
-99.0,0.558019786024699,0.07186886590127588,0.314,0.309234619140625
-103.5,0.5548975166856545,0.074143695217047,0.284,0.2641255855560303
-108.0,0.5545413429574982,0.07523392192316015,0.252,0.25439000129699707
-112.5,0.5512405918217265,0.07815006162262207,0.21,0.29261064529418945
-117.0,0.547447197294212,0.0802583922476095,0.194,0.1888904571533203
-121.5,0.5455767243006266,0.07704105629038059,0.192,0.23308444023132324
-126.0,0.5418463526918785,0.08299185464383398,0.2,0.2801239490509033
-130.5,0.5354879436016199,0.08181214706564849,0.224,0.2695579528808594
-135.0,0.5354512869284954,0.08676762906354155,0.25,0.29399895668029785
