Severity,Mean,Std,Accuracy
1,0.9999983601570129,9.281187426685707e-07,0.998
2,0.9163672063350677,0.027411497476631696,0.99
3,0.8413209782540798,0.046559807088353646,0.964
4,0.7863095986098051,0.05851788620447735,0.882
5,0.7435595240667462,0.06426889882912913,0.748
6,0.7147423565201462,0.06614868635514363,0.578
7,0.6928948643058539,0.06803037823021632,0.476
8,0.669037138370797,0.06845411551405312,0.422
9,0.6562933986056596,0.06793968876635358,0.392
10,0.6435252590230666,0.07117437921058999,0.376
11,0.63869960642152,0.06995384596030463,0.352
12,0.6304566560667009,0.07152014482636512,0.318
13,0.616437719999114,0.07108487018481649,0.282
14,0.6122828343997244,0.07068554780048786,0.246
15,0.6066905942398589,0.06538053899742065,0.226
16,0.6055255463856738,0.06756138526647654,0.234
17,0.6019846102045849,0.06876362294002149,0.278
18,0.5962096192389726,0.07082515618664417,0.316
19,0.5894784235125408,0.07147460543491588,0.342
20,0.5775723472477402,0.06888437003043474,0.378
21,0.5582830484843871,0.07454800489735286,0.404
22,0.5585099236364477,0.07745031232341704,0.362
23,0.5618366126921028,0.07544603960935199,0.348
24,0.5551951346073766,0.07737060484557388,0.31
25,0.556446463084314,0.07773513801052535,0.268
26,0.5525546439785975,0.07830087035853893,0.228
27,0.5519716970026493,0.07887215861058262,0.216
28,0.5413635741274339,0.08139566165827009,0.206
29,0.54077476248116,0.0812973830718375,0.196
30,0.5402371539658634,0.0871475687672732,0.242
