Severity,Mean,Std,Accuracy
1,0.8821117767369528,0.027303184069233915,0.953
2,0.7796319675924692,0.04125708411815788,0.849
3,0.7006976882435226,0.04727978620039771,0.684
4,0.6502553030963936,0.048504928928785454,0.467
5,0.6161992415578683,0.04796052142301698,0.333
6,0.5947034023166043,0.047188288976218296,0.284
7,0.5774000004104773,0.045348740787865785,0.256
8,0.5647318101381706,0.04431570551509226,0.238
9,0.5565074199816759,0.043331447911197106,0.257
10,0.5500139154826387,0.04190698558125699,0.309
11,0.5457729546355324,0.04130189094321027,0.241
12,0.5423340344482693,0.040427052847770775,0.194
13,0.5389875438597919,0.03991224404060029,0.179
14,0.5383176675569807,0.03979949043254993,0.18
15,0.5373279798235188,0.03960853259037043,0.185
16,0.5363053997638296,0.03970152910755938,0.194
17,0.5365031556564426,0.04001376732667035,0.261
18,0.5372528518421467,0.04048348110954865,0.3
19,0.5385074049601482,0.0409114346417216,0.31
20,0.5406615580701086,0.04256960724216036,0.355
21,0.5372187362959471,0.040354871920838094,0.301
22,0.5343020086234028,0.039127372448943445,0.291
23,0.5311747264013571,0.03802184299473848,0.254
24,0.5290828248286884,0.0374455097596453,0.193
25,0.5271786551053226,0.037369153364091655,0.176
26,0.5261330598888977,0.03741299555305474,0.167
27,0.5245477456055497,0.03741132759302462,0.164
28,0.5241070456263567,0.03753837517315259,0.166
29,0.5234632325797931,0.03794251208155889,0.197
