Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.5130047371983528,0.010107725983154145,1.0
3,0.4844515480399132,0.015269136960772266,1.0
4,0.4572764301896095,0.018272940948985666,1.0
5,0.43459377151727674,0.019167174608734606,1.0
6,0.4182201438546181,0.02044745141370133,1.0
7,0.40435664212703704,0.02109444965598361,1.0
8,0.3892973683476448,0.02017826838761738,1.0
9,0.3785259245634079,0.02005604875592293,1.0
10,0.3687074811458588,0.02167712354609664,0.998
11,0.3596804596185684,0.02184219900906202,0.996
12,0.350958967089653,0.02150887910626296,1.0
13,0.3446391057372093,0.021200940427299978,0.998
14,0.3361829990744591,0.02042554363868441,1.0
15,0.33120593655109404,0.02110002747315346,1.0
16,0.32689704567193983,0.022709818559981075,0.996
17,0.32039445066452027,0.021040243698258212,0.994
18,0.31306434178352355,0.021954577988828963,0.998
19,0.30972360253334047,0.021648709663185117,0.996
20,0.30520929902791977,0.02142193518995386,0.996
21,0.3000303057730198,0.021451204144294977,0.996
22,0.2966648192405701,0.021648483085527123,0.99
23,0.29363698986172676,0.021931003806655032,0.988
24,0.28894162088632586,0.02148661459655967,0.982
25,0.2860921429991722,0.021660749860809236,0.984
26,0.2814088431894779,0.022089421662442096,0.98
27,0.2799364846944809,0.022359959841854606,0.96
28,0.27519382554292676,0.02201861840397205,0.958
29,0.27240449488162993,0.022423814334768147,0.952
30,0.2679834588766098,0.02307673806245016,0.94
