Severity,Mean,Std,Accuracy
1,0.9998912761211395,0.0013141942148873391,0.998
2,0.9984239946603775,0.004080021217737324,1.0
3,0.9982835059165954,0.0038372447545523495,1.0
4,0.9981702733039856,0.00376417073111332,1.0
5,0.9979161795377731,0.003380160415875578,1.0
6,0.9973405300378799,0.004274175681295253,1.0
7,0.9970431358814239,0.004040979729504098,1.0
8,0.996422357559204,0.00425492011227163,0.998
9,0.9957083036899567,0.004344726018707929,1.0
10,0.9950161348581315,0.004893737120029799,0.998
11,0.9941276259422303,0.006523834157092663,0.998
12,0.9930319638252258,0.006244305778518691,1.0
13,0.9921136716604233,0.006551918895577649,0.998
14,0.9908375035524368,0.006904550926478877,0.996
15,0.9892884426116944,0.007581731232508637,1.0
16,0.9886808615922927,0.007470172504240888,1.0
17,0.9857744845151901,0.01080701778258868,1.0
18,0.9842203433513641,0.010798486546695178,0.996
19,0.9826461027860641,0.011622129106680326,0.998
20,0.9794312480688095,0.014219816074964519,0.992
21,0.9779076060056686,0.014730382777784263,0.99
22,0.9735110899209977,0.01838731094011965,0.994
23,0.971075435757637,0.01903283480157972,0.984
24,0.9674077500104904,0.021712569505819363,0.984
25,0.9650193387269974,0.025812549915596172,0.984
26,0.9619906270503997,0.027808550556404972,0.974
27,0.9557348512411118,0.03296953444903166,0.962
28,0.9524970400333405,0.03751254316056859,0.954
29,0.9471536622047424,0.042616780514003826,0.948
30,0.9371960372924805,0.04759950279510131,0.928
