Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9996471800804139,0.00024693996315225993,0.998
3,0.9995117182731629,0.0002333027109803643,1.0
4,0.9992474308013916,0.00022957969995362842,1.0
5,0.9988108478784561,0.00027637459071517195,0.998
6,0.9983433891534805,0.0004010837139360062,0.998
7,0.9977072302103043,0.0005576511096092993,1.0
8,0.996752776145935,0.0008035316913459015,0.998
9,0.995792325258255,0.0010868868921903663,1.0
10,0.9948259437084198,0.0013191674705199646,0.996
11,0.993997474193573,0.0016908144377859565,1.0
12,0.9923821266889572,0.0020175672899527047,0.998
13,0.9911290056705475,0.0024914585841508503,1.0
14,0.9892821906805038,0.0030440362915216453,1.0
15,0.9876975599527359,0.0036320644805720036,1.0
16,0.9870055177211762,0.0038620006926368463,0.998
17,0.9837803333997727,0.004961498691437131,0.998
18,0.9819721434116363,0.005684346900206421,0.998
19,0.9797006297111511,0.006507360435498874,0.998
20,0.9777780730724335,0.006907784090101126,0.996
21,0.9755704648494721,0.008311160254866161,0.992
22,0.9727065315246582,0.009009118325635461,0.986
23,0.969715971827507,0.010481677242497685,0.992
24,0.9666028840541839,0.01166820450097496,0.988
25,0.9646255254745484,0.012982892201868872,0.978
26,0.9615121788978577,0.014191516331669969,0.984
27,0.957913625240326,0.01600383606868567,0.966
28,0.9543355535268784,0.017633097482631956,0.958
29,0.9518758736848831,0.018941949005578416,0.944
30,0.9489097406864166,0.020023848231738525,0.936
