Severity,Mean,Std,Accuracy
1,0.998284675359726,0.011906740420732972,1.0
2,0.9977673753499985,0.010173022330217395,0.998
3,0.9972360867261887,0.012467571004121958,0.998
4,0.9973282047510147,0.010819239738627457,0.998
5,0.9966613768339158,0.012326324919430533,1.0
6,0.9960847175121308,0.012608169233025495,1.0
7,0.9959209928512573,0.00966699211869316,1.0
8,0.9943678303956985,0.011966023548830626,1.0
9,0.9936479569673539,0.010908049434921798,0.998
10,0.9921288949251175,0.012758859225051437,1.0
11,0.9914581372737884,0.01138854903968862,0.998
12,0.9896928948163987,0.013098938920839968,1.0
13,0.988346188902855,0.012442393163261928,1.0
14,0.985548709988594,0.016272107604361836,1.0
15,0.9842020471096039,0.015203234968528793,0.998
16,0.9836901469230652,0.010404178396649567,0.998
17,0.9799245685338974,0.011358454505460141,0.996
18,0.9777274374961853,0.014273081922081874,0.996
19,0.9761787860393524,0.012524377557977301,0.998
20,0.9732233518362046,0.013195475578488425,0.998
21,0.9712200392484664,0.016796158891739407,0.992
22,0.9676320906877518,0.019511039228523114,0.994
23,0.9652492579221725,0.014733410149612302,0.99
24,0.9617437940835952,0.016931299844996646,0.982
25,0.9585427573919296,0.018762916432127526,0.972
26,0.9553832619190216,0.019974538782050928,0.97
27,0.9514732494354248,0.019046236598841946,0.97
28,0.9489694839715958,0.02171974333690496,0.952
29,0.9447204114198685,0.02332415299453959,0.934
30,0.9432566422224045,0.023145229919959917,0.934
