Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.8871275186538696,0.08929674327373505,1.0
3,0.8621522188186646,0.08471451699733734,1.0
4,0.8408979177474976,0.08050484955310822,1.0
5,0.8159801363945007,0.07098764181137085,1.0
6,0.8030365705490112,0.06827368587255478,1.0
7,0.7890177965164185,0.06254434585571289,1.0
8,0.7767744064331055,0.06187380477786064,1.0
9,0.7667203545570374,0.0584157295525074,1.0
10,0.7574184536933899,0.05545299872756004,1.0
11,0.7529993653297424,0.05510208383202553,1.0
12,0.7435212731361389,0.05321108549833298,1.0
13,0.738501787185669,0.05178932473063469,1.0
14,0.7310221195220947,0.05044307932257652,1.0
15,0.7270620465278625,0.04914647340774536,1.0
16,0.7254586815834045,0.049260783940553665,1.0
17,0.7164588570594788,0.04849395155906677,1.0
18,0.7136383652687073,0.04822821170091629,0.998
19,0.7102514505386353,0.04583989083766937,0.998
20,0.7065522074699402,0.04559309780597687,0.998
21,0.7046176195144653,0.04553321748971939,0.998
22,0.7001761198043823,0.04556670039892197,0.998
23,0.6978651881217957,0.04527844861149788,0.998
24,0.6942342519760132,0.04387529194355011,0.998
25,0.6921054720878601,0.04354154318571091,0.998
26,0.6895427703857422,0.0432777963578701,0.998
27,0.6867961883544922,0.04321623221039772,0.998
28,0.6844984889030457,0.04251023381948471,0.998
29,0.6827260255813599,0.04260900616645813,0.998
30,0.681358814239502,0.04230348765850067,0.998
