Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9996623153686524,0.0002379437168213329,1.0
3,0.9995339040756226,0.0002363779135896758,1.0
4,0.9992734001874923,0.00022667081901045944,0.998
5,0.9988410425186157,0.00029066216253128234,1.0
6,0.9983666766881942,0.0003811900526882707,0.998
7,0.9977314026355744,0.0005628853762258033,1.0
8,0.9967763906717301,0.0008301565317435293,1.0
9,0.9958545361757278,0.001072914452040484,0.998
10,0.9948882524967193,0.0013530898762532603,1.0
11,0.994124368429184,0.001654108415420138,0.998
12,0.9924463545083999,0.002127276782646268,0.998
13,0.9910454005002975,0.0026026554288555415,1.0
14,0.9893210005760192,0.0030765055518193938,1.0
15,0.9878206158876419,0.003783008844431775,0.998
16,0.986821024775505,0.004006013054858314,1.0
17,0.9838503772020339,0.0051262953848324735,0.998
18,0.9818132368326187,0.005700998685926761,0.998
19,0.980518026471138,0.006065108940797088,0.992
20,0.9773057143688202,0.007563296382037806,0.994
21,0.9754691817760468,0.007990671973338493,0.994
22,0.9726216049194336,0.009395729900002082,0.988
23,0.9701539723873138,0.010215546738206502,0.986
24,0.9673126260042191,0.011663535519586696,0.988
25,0.9647207751274108,0.013568449779783437,0.976
26,0.9618344334363937,0.013507254842251907,0.97
27,0.9585150830745697,0.01600666452594024,0.966
28,0.9550461748838425,0.016642281024458427,0.964
29,0.9503190100193024,0.020077869848435927,0.948
30,0.9480687495470047,0.020581574855868354,0.932
