Severity,Mean,Std,Accuracy
1,0.9998292291434399,0.0001059399571317017,1.0
2,0.9997813434730758,9.875577098338763e-05,1.0
3,0.999681731832945,9.841715981841816e-05,1.0
4,0.999518658669367,0.00012135858714923304,1.0
5,0.9993477543253109,0.00016287115027084365,1.0
6,0.9991180808450665,0.00022591430065996748,1.0
7,0.9987669674185907,0.0003194159199223706,1.0
8,0.9984288673157273,0.0004083695470757108,1.0
9,0.998090770123616,0.0005098401528792275,1.0
10,0.9978201059989067,0.0006025874145835229,1.0
11,0.9972399000158161,0.0007373628957849476,1.0
12,0.9968118717928534,0.0008680841090553906,1.0
13,0.9961589166788267,0.0010347116069995897,0.999
14,0.9956987520047869,0.001176458189719372,0.999
15,0.9954340123790097,0.001277443816311509,0.999
16,0.9943942261074251,0.0014630075681453772,0.999
17,0.9938233054351959,0.001630478975823169,0.998
18,0.9932302363803163,0.0018022367536661994,0.998
19,0.9924377064589528,0.001995143426436896,0.997
20,0.9919639113484726,0.0021521913847210245,0.997
21,0.990958395032325,0.0023607289796864646,0.994
22,0.9903011487061413,0.002540235464566977,0.994
23,0.9893896065394374,0.0027498303291233948,0.992
24,0.9887097360895475,0.0029501877008027196,0.992
25,0.9878666790514021,0.0031559635236428564,0.992
26,0.9868974032805045,0.0033943584725095502,0.992
27,0.9861424292083258,0.0035958001070042944,0.992
28,0.9853523670759919,0.003818220186424798,0.992
29,0.9846957032146878,0.004027910188360207,0.992
