Severity,Mean,Std,Accuracy
1,1.0,0.0,0.998
2,0.20068855318427087,0.023249927437864512,0.998
3,0.16859301008284092,0.021496626226074133,0.998
4,0.1498201474249363,0.0205868484571284,0.994
5,0.14001249593496323,0.02005605991505128,0.998
6,0.13081481163203718,0.019107417361584993,0.992
7,0.1259558993279934,0.019358310685130768,0.982
8,0.12045547030866147,0.01876921949475941,0.972
9,0.11605251121520996,0.017664067207747436,0.954
10,0.11261752927303315,0.017812040056170354,0.928
11,0.11006176342070102,0.01771726934945907,0.882
12,0.10669693607091904,0.017315867039462755,0.85
13,0.1040856066942215,0.017689497169494077,0.836
14,0.10185934740304947,0.017161709473085807,0.788
15,0.09921707546710969,0.017902071236880045,0.734
16,0.0974448102042079,0.017698652619106123,0.652
17,0.0967584525346756,0.017079347212080796,0.644
18,0.09447158071398735,0.01731268130941379,0.576
19,0.09275416415184737,0.017204250942499347,0.54
20,0.0916100606918335,0.017454482458628164,0.512
21,0.08952636658400297,0.016260523793181676,0.438
22,0.08878316930681467,0.01651536548376368,0.424
23,0.08714732319861651,0.01661042273724455,0.416
24,0.08565597217530012,0.01597874248504206,0.356
25,0.08432139027863741,0.01625364423261567,0.322
26,0.08410744367539882,0.016996060244402936,0.328
27,0.08175389771908521,0.015810612059182955,0.316
28,0.0810922630354762,0.016588560063722575,0.284
29,0.08044477331638336,0.016702940501744663,0.27
30,0.07945354036986828,0.016342166711545487,0.232
