Severity,Mean,Std,Accuracy
1,0.9998372396230698,0.0023758232888418085,1.0
2,0.6199976190924644,0.10197323528417501,0.996
3,0.414396140486002,0.12183465582204434,0.996
4,0.29931380311399697,0.11328665076447807,0.998
5,0.2612925913706422,0.10476964944689514,0.99
6,0.23267130612581968,0.09746913682066986,0.99
7,0.22233748706337064,0.09446143031392999,0.98
8,0.1969790577585809,0.0919009499614799,0.972
9,0.19274232455622406,0.0853757255594656,0.944
10,0.18704457733919844,0.07886986089726435,0.932
11,0.17842127778800204,0.08008593856882493,0.892
12,0.16294311875768472,0.07836461731409215,0.852
13,0.155278328897577,0.07727699099055199,0.814
14,0.14526053920729465,0.07625596865038876,0.76
15,0.14399574830525672,0.07489983623969595,0.726
16,0.14148131604108494,0.07392548384991414,0.67
17,0.13879796593915672,0.06953852935868744,0.634
18,0.13230278729909334,0.07054469835509146,0.57
19,0.13462853243015707,0.06858445996973608,0.508
20,0.12678700764788664,0.06783254265717895,0.512
21,0.12087495412077988,0.0723690309956712,0.464
22,0.11403510760725476,0.0718555309157684,0.436
23,0.11621534771565348,0.07163390887503941,0.408
24,0.10912356444844044,0.06925869115513598,0.374
25,0.1056562588516099,0.06792902749064116,0.356
26,0.10986231767409481,0.06963519524720388,0.31
27,0.10063254799577408,0.07017577104497164,0.298
28,0.09811001797724749,0.06992660376580072,0.278
29,0.10022735020937398,0.07317934255384186,0.266
30,0.09983653922957456,0.07577582048230155,0.23
