Severity,Mean,Std,Accuracy
1,1.0,0.0,0.998
2,0.8413857008218766,0.0538655346603592,0.998
3,0.6991523376703263,0.09103240262907965,0.998
4,0.5413941480219364,0.12415428207063894,0.996
5,0.4439482753574848,0.1362139382771616,0.994
6,0.3758407219164073,0.140098483216773,0.982
7,0.33132794823870065,0.14222323196305175,0.976
8,0.2784693754184991,0.1394699933721516,0.968
9,0.25325310391839595,0.13594457976893665,0.952
10,0.2271064131720923,0.13545162700622726,0.924
11,0.21436027451092377,0.1251130270321205,0.902
12,0.19473340654815546,0.12605014069210502,0.858
13,0.17428066220507027,0.11594865666526565,0.836
14,0.16742960978369228,0.11402395228460198,0.762
15,0.15264577484689654,0.11259650771878034,0.696
16,0.14368930440559052,0.10458697249274948,0.688
17,0.13632178741064854,0.10155757736699479,0.598
18,0.12761536755482666,0.10027658123460104,0.576
19,0.1165998564499896,0.09754052853970739,0.526
20,0.11551507395491353,0.0933549891216071,0.492
21,0.10999874387064483,0.08680288637746585,0.49
22,0.09335315499803983,0.08448407798997108,0.438
23,0.09214120850310428,0.08107107179460475,0.394
24,0.09143728546664352,0.07850728465370048,0.374
25,0.08294023427204229,0.0783532421467354,0.354
26,0.07632599585020217,0.07146163162845644,0.32
27,0.07285187418066198,0.07007678574690696,0.288
28,0.07075713876780355,0.06692414647160755,0.284
29,0.06868081126709877,0.06928106025594022,0.264
30,0.06609819537290605,0.06750950219631915,0.258
