Severity,Mean,Std,Accuracy
1,0.998693017244339,0.007907395255342927,1.0
2,0.8278307703733444,0.05861439549615909,0.996
3,0.6748640627861023,0.09415246676472794,0.996
4,0.5116217298805714,0.12583528957615916,0.994
5,0.4047850335240364,0.14210498698890422,0.988
6,0.33268611432239414,0.14344175041641505,0.984
7,0.2950468983161263,0.14094758315235867,0.968
8,0.23572741876356304,0.143795706642705,0.98
9,0.21017968486994504,0.1346162250530299,0.96
10,0.1887730335771921,0.13821723341333694,0.926
11,0.17926198033755644,0.12715771281911029,0.884
12,0.15249677988930488,0.12527297922588612,0.854
13,0.14104270731506405,0.12033235295433303,0.842
14,0.12471631248615449,0.11083159993302791,0.774
15,0.11813535385316937,0.11035727933843703,0.756
16,0.10668724607327022,0.10426553923517438,0.688
17,0.10559283248428256,0.10024396226796178,0.612
18,0.09869021144136786,0.09930057180357446,0.592
19,0.088773796475376,0.09510654701192893,0.512
20,0.08317513409528328,0.08655608080046652,0.492
21,0.07664842816596501,0.08951671239783605,0.446
22,0.07310382037916861,0.08097915479871544,0.398
23,0.06334149043902289,0.07854908235173474,0.38
24,0.06277539953112136,0.0772686668072013,0.366
25,0.06117153004283318,0.07561725852564932,0.342
26,0.05817994251695927,0.07240005610639062,0.32
27,0.05351895395163774,0.06817532850628058,0.32
28,0.050353073928621594,0.0678922352772455,0.282
29,0.04882772599870805,0.06736942485748038,0.262
30,0.043297410758052136,0.06323077027609919,0.242
