Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9282270566933717,0.02250115505920452,1.0
3,0.8627465982581444,0.03823203035809348,0.998
4,0.792064542022036,0.050721066381121414,0.994
5,0.749540285411122,0.05733369754284821,0.994
6,0.7134740293340107,0.06016566258053906,0.992
7,0.6917353272074532,0.0592673518920776,0.976
8,0.6638192546195248,0.059815032276954,0.97
9,0.6499448054310054,0.05959258617956566,0.966
10,0.6368151378617266,0.05763129063212775,0.932
11,0.6316903968883174,0.05543794681858072,0.896
12,0.6164842891006813,0.05363488856574921,0.866
13,0.6090945174290716,0.054170151907937135,0.83
14,0.5996706588568805,0.052643905845120624,0.77
15,0.5961436303066044,0.05118434925377811,0.714
16,0.5868918286147845,0.048149231800639986,0.654
17,0.5864462975717462,0.045937697246168675,0.624
18,0.5786290287949757,0.04608124428542275,0.564
19,0.5738167871579862,0.04480229924296101,0.516
20,0.5729717295286596,0.04228259480434333,0.512
21,0.5692064158102758,0.041932230290783065,0.46
22,0.5640361556612437,0.04027034552159495,0.408
23,0.5610283571313143,0.04097017667575598,0.384
24,0.5604637283572219,0.038157761470023074,0.364
25,0.555382496703769,0.038042077821229994,0.34
26,0.552877306011818,0.03741801615723795,0.334
27,0.5506548608293983,0.0348908207610479,0.302
28,0.5482766410310326,0.034661550088985964,0.274
29,0.5458555724069674,0.033489189768500995,0.278
30,0.5443284944806343,0.03375923186410872,0.266
