Severity,Mean,Std,Accuracy
1,0.999999999998982,1.111334915764742e-16,0.998
2,0.999999999983714,2.222669831529484e-16,0.998
3,0.9999999999175518,4.445339663058968e-16,0.996
4,0.9999999997394213,3.3340047472942265e-16,0.994
5,0.9999999993638226,0.0,0.992
6,0.999999998680822,1.111334915764742e-16,0.99
7,0.9999999975560598,0.0,0.986
8,0.9999999958307466,0.0,0.99
9,0.9999999933216625,4.445339663058968e-16,0.974
10,0.9999999898211609,4.445339663058968e-16,0.984
11,0.9999999850971569,2.222669831529484e-16,0.964
12,0.9999999788931543,2.222669831529484e-16,0.966
13,0.9999999709282132,1.111334915764742e-16,0.954
14,0.9999999608969578,2.222669831529484e-16,0.952
15,0.9999999484696127,2.222669831529484e-16,0.936
16,0.9999999332919454,2.222669831529484e-16,0.926
17,0.9999999149853038,3.3340047472942265e-16,0.922
18,0.9999998931466059,3.3340047472942265e-16,0.91
19,0.9999998673482898,0.0,0.906
20,0.9999998371385087,0.0,0.898
21,0.9999998020408501,5.556674578823711e-16,0.88
22,0.9999997615545143,3.3340047472942265e-16,0.882
23,0.9999997151542742,2.222669831529484e-16,0.876
24,0.9999996622904723,2.222669831529484e-16,0.856
25,0.9999996023890233,0.0,0.84
26,0.9999995348512819,2.222669831529484e-16,0.822
27,0.9999994590545461,2.222669831529484e-16,0.816
28,0.9999993743513275,3.3340047472942265e-16,0.796
29,0.9999992800698225,1.111334915764742e-16,0.788
