Severity,Mean,Std,Accuracy
1,0.9294603281892485,0.02367636344664344,0.983
2,0.8622290787593317,0.0405350206386537,0.98
3,0.7904624645980538,0.05423239430253676,0.948
4,0.7440843513840928,0.06000921233688057,0.932
5,0.707305670163191,0.0627603616541344,0.899
6,0.6857788459508406,0.06304420493998882,0.886
7,0.6559120419936203,0.06477910128233012,0.843
8,0.6411530673035448,0.06309817105559087,0.785
9,0.6274449746423925,0.062254122757385635,0.707
10,0.6212540695684782,0.06002293498931364,0.608
11,0.6069666247362682,0.05914553301509508,0.55
12,0.5982331705777456,0.05770452516752647,0.498
13,0.5902400762221426,0.05635897456663583,0.427
14,0.5856163446758692,0.05500351659934581,0.373
15,0.579379253220696,0.05338785491809634,0.346
16,0.5760808847230101,0.05192996100810596,0.322
17,0.5695634209158547,0.050973412016475816,0.267
18,0.566735532313599,0.04938597908402459,0.239
19,0.5623670794461041,0.048035815090786464,0.24
20,0.5585418570393778,0.04605345608405139,0.206
21,0.5556526741881244,0.044442886032111814,0.213
22,0.553141854796575,0.04304279323326851,0.182
23,0.5511215638555419,0.041788757382685046,0.166
24,0.5483846575227602,0.04082471533337678,0.165
25,0.5462146937624734,0.03982896976365913,0.145
26,0.5441291259481333,0.038676311097732674,0.139
27,0.5421562642801955,0.037609285001525466,0.142
28,0.540688733201872,0.03641191962720274,0.139
29,0.539406531146122,0.035850684118361835,0.134
