Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.19423645627498626,0.025288177852414065,0.998
3,0.16280742207169532,0.022443900974397486,0.994
4,0.1444115815013647,0.02227694264866596,0.994
5,0.1326387715190649,0.020227134606450568,0.988
6,0.1243056906759739,0.020767689096686085,0.978
7,0.11925281378626823,0.02047454929706275,0.98
8,0.11281254807114602,0.0197482551476253,0.952
9,0.1089718084409833,0.019249544294450326,0.94
10,0.10646855276077986,0.01947144690822645,0.92
11,0.10408507218211889,0.019601588443799507,0.86
12,0.10006513383984565,0.019305949802185914,0.82
13,0.09731778337806463,0.018273442339666584,0.796
14,0.09531221441924571,0.018352287613410474,0.746
15,0.09431930900365114,0.018706618868836056,0.676
16,0.0910220724567771,0.018164324390276657,0.604
17,0.0912061403915286,0.017731369419716782,0.644
18,0.08807174922525883,0.018305525790929932,0.566
19,0.08669437354803085,0.017886132295366387,0.554
20,0.0866874610260129,0.01779413170729381,0.528
21,0.08418199292570352,0.017457328397534135,0.464
22,0.08281483985483647,0.017431073066049577,0.434
23,0.08184391668438912,0.017483461113765027,0.428
24,0.08057638001441955,0.017450042102175718,0.404
25,0.07926901755481959,0.01698485546489267,0.376
26,0.0788714108094573,0.016779440164618183,0.306
27,0.07770659233629704,0.017132823618732324,0.338
28,0.07600787127017974,0.016401540326347396,0.304
29,0.07567122662067413,0.016496020733907987,0.31
30,0.07498934975266457,0.017247356668788325,0.276
