Severity,Mean,Std,Accuracy
1,0.999927734375,0.0009428586929248531,1.0
2,0.5950949918031693,0.09531773132680958,1.0
3,0.37169980224221943,0.11694566099423745,0.996
4,0.2580237742997706,0.09898583710773655,0.996
5,0.2206974456696771,0.08473543624503449,0.986
6,0.18586559678800404,0.07748770282335753,0.988
7,0.1879739269679412,0.07078207344444346,0.968
8,0.15805584527971223,0.06948319643078614,0.96
9,0.15682945745717733,0.0650395740151142,0.95
10,0.1517102801928595,0.06411419119594085,0.92
11,0.15235793415037915,0.06574210416934144,0.86
12,0.12799949273777747,0.06963642586686188,0.834
13,0.12852997597143986,0.059520833828037564,0.77
14,0.11822065078304149,0.06767024255040521,0.736
15,0.11991277458039258,0.0637018602810713,0.694
16,0.11045197554701008,0.0635944904169767,0.642
17,0.11243823701608927,0.06351722842896174,0.602
18,0.11229536285955692,0.06217231557919294,0.574
19,0.109292639991967,0.059483070777598714,0.526
20,0.10237386145594064,0.06396458750674804,0.504
21,0.10107083977910224,0.06606299245430178,0.482
22,0.102009252150463,0.06693525224850135,0.43
23,0.09891556837316602,0.06465200543209473,0.44
24,0.09866587418864947,0.06342884991731518,0.414
25,0.08964212306786794,0.06485998066472971,0.36
26,0.09155414305388694,0.06403439993253342,0.352
27,0.0923308927193284,0.06817777299403731,0.328
28,0.08997116074661608,0.06753309223860639,0.294
29,0.08629059260103532,0.06994375395251919,0.28
30,0.08142205111865769,0.06883254351347594,0.286
