Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.8238354077339173,0.05367834604320958,0.998
3,0.6612691665887833,0.09087445827474423,0.996
4,0.48105153772234915,0.11850378480278874,0.994
5,0.36860929006710647,0.12390823679238729,0.994
6,0.29335249550174924,0.12288368828821836,0.986
7,0.24657428052276373,0.12229908387758426,0.968
8,0.18444111735501792,0.12323184641687672,0.972
9,0.1607863819694612,0.11478076870141646,0.946
10,0.1332774793484714,0.10861525675441468,0.902
11,0.12694929695373866,0.10407407537549337,0.86
12,0.1059544742943981,0.09595547284600564,0.832
13,0.09376017154520377,0.08665469941137177,0.81
14,0.08374352628851194,0.09096969236484721,0.748
15,0.07688794791988039,0.08053310133859248,0.708
16,0.06818229506589978,0.07811375222499665,0.672
17,0.0728604331779061,0.07288194078506681,0.604
18,0.05911813038494438,0.07036118095346229,0.58
19,0.06116364827772486,0.06998427266089235,0.538
20,0.05825010552952881,0.06631485448539343,0.514
21,0.048383232700958616,0.06456634014661877,0.47
22,0.04641182327189381,0.06124544516939966,0.434
23,0.05232205913234793,0.06241443786225608,0.396
24,0.04651145634800196,0.05714397355236407,0.412
25,0.03663642252166756,0.05408436139223064,0.358
26,0.03881076572582242,0.05235244020561217,0.342
27,0.03813766901748022,0.05519085441234046,0.322
28,0.03424779524002224,0.05071460736981251,0.302
29,0.03319402804049605,0.04899974996492465,0.32
30,0.03345834035539883,0.050607292951104915,0.26
