Severity,Mean,Std,Accuracy
1,0.9981033091545105,0.014758951550597576,1.0
2,0.8078143079280853,0.05667241576849194,0.998
3,0.6289149227142334,0.09660038274122637,0.998
4,0.44205981807410716,0.12414485903277775,0.992
5,0.3237062879148871,0.12519917819378432,0.99
6,0.2480421092379838,0.12206340161733478,0.986
7,0.2019971950284089,0.11621300074753303,0.974
8,0.14729491384106222,0.11723743096631324,0.96
9,0.12080131911119679,0.10817658027183392,0.938
10,0.0968902590139769,0.10470796659177128,0.9
11,0.08845730111002922,0.09553203541626931,0.862
12,0.06814222382046864,0.09098239540777732,0.846
13,0.05392933857563185,0.08694875598064314,0.782
14,0.050710999887553045,0.08050995575432063,0.722
15,0.045047027404525576,0.0779733427467855,0.69
16,0.042770790546434,0.07236210040325075,0.64
17,0.03687773039669264,0.06984483346049813,0.618
18,0.036028968213417105,0.06806055323671338,0.556
19,0.02925702329543856,0.06244305084614751,0.556
20,0.02750295757524873,0.062414208109316464,0.486
21,0.026488934407243505,0.061682139780105595,0.482
22,0.025866310038363736,0.05809509719040704,0.456
23,0.026916723533533513,0.059773791751638716,0.398
24,0.019110354182266746,0.05364405498623906,0.412
25,0.01812619386905999,0.05464816720425818,0.392
26,0.022558156335639068,0.052611719958609714,0.35
27,0.01944818687753286,0.051109695931703183,0.322
28,0.017638203296315623,0.05102502681280139,0.308
29,0.01719110325793008,0.044307308963210015,0.286
30,0.016902904456946997,0.04526445504510372,0.278
