Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9212106782810834,0.02230949287848546,1.0
3,0.8460803200223505,0.037558959488059415,0.996
4,0.7671201439673453,0.05034555609859775,0.996
5,0.7140880736355696,0.05565263445325437,0.996
6,0.6762729751028794,0.05476539744073193,0.986
7,0.6538135352469789,0.05460383306990403,0.976
8,0.621581104287019,0.05310751660781866,0.95
9,0.6085955796411224,0.05134240923635342,0.922
10,0.5962572852744378,0.04921335537715559,0.898
11,0.589984432323834,0.04716776370978186,0.888
12,0.576611690881906,0.04563130617291416,0.84
13,0.5689604382740858,0.042671735597909134,0.788
14,0.5630722304796811,0.0401418206269289,0.736
15,0.5605481437409691,0.04027367892012084,0.722
16,0.556353500292518,0.037779641041330185,0.65
17,0.554440031868641,0.03502291370059195,0.622
18,0.5504469878938976,0.0349877837888513,0.578
19,0.5497374659874485,0.03372274372167246,0.566
20,0.5447529800359266,0.03269875778715764,0.54
21,0.5416845873940672,0.03047581791400116,0.486
22,0.5389005359121462,0.029835341724532723,0.47
23,0.5382485920118678,0.0308227167855055,0.45
24,0.5372978464690418,0.029263114880232012,0.422
25,0.5346761115313952,0.02807999413014014,0.416
26,0.5339942303546088,0.028684316962557698,0.39
27,0.5336161838826056,0.027408042865926678,0.34
28,0.5296442104877461,0.02643310690347946,0.332
29,0.5281692248054081,0.026640094248208478,0.326
30,0.5286425514141407,0.02542571374219579,0.298
