Severity,Mean,Std,Accuracy
1,0.92118524658348,0.021930060676026052,0.985
2,0.8434973002365459,0.038466247918047744,0.96
3,0.76195792238191,0.049873856403464555,0.934
4,0.7083178659882556,0.054190252590866704,0.902
5,0.6671952668645841,0.05489435226583636,0.879
6,0.6444167632290065,0.05428677141718049,0.84
7,0.6114828272000348,0.054974853918116226,0.788
8,0.597167855556496,0.05246704861432447,0.752
9,0.5830367919242726,0.05099550877140582,0.696
10,0.5781438526276336,0.048687688035589274,0.632
11,0.5645943850024773,0.04716786773256984,0.598
12,0.5575619374126229,0.04543849679858348,0.552
13,0.551090355937612,0.043964732410251,0.506
14,0.5479982937015646,0.04253844235845374,0.494
15,0.5443358083130444,0.04064313948844294,0.43
16,0.5435815289473391,0.03912399710772442,0.409
17,0.5390264113391222,0.03796537563299945,0.383
18,0.5381774675424228,0.03634469842022016,0.352
19,0.5350918674135601,0.03534216935043189,0.332
20,0.533015154608046,0.03385953185906886,0.307
21,0.5315096281726011,0.0326468632387432,0.325
22,0.5300234863961262,0.03177622938527095,0.303
23,0.5290481910660055,0.030776731999518695,0.283
24,0.5275687503850469,0.029738237809396127,0.266
25,0.5263763048723613,0.029025376887676726,0.246
26,0.5252010499364153,0.028267518385391703,0.22
27,0.5241863851858334,0.027487538147061126,0.195
28,0.523411276287973,0.026758948206478256,0.187
29,0.5228656262029127,0.02627653944243137,0.181
