Severity,Mean,Std,Accuracy
1,0.7787529109120369,0.34757705496562574,0.998
2,0.5572852968126536,0.3978307990120466,0.992
3,0.41407136265188454,0.3669680600830884,0.988
4,0.33659111288934945,0.3336440437950957,0.98
5,0.2741198327280581,0.29683022556870636,0.968
6,0.2257718437258154,0.2540191466362949,0.956
7,0.1898212130740285,0.21978014654163858,0.932
8,0.1613793131839484,0.18419508094372156,0.926
9,0.13216841235355242,0.13439899792115545,0.9
10,0.11760425913031212,0.12085692429453748,0.892
11,0.10287126535596326,0.09074457239443846,0.872
12,0.09467412662273272,0.08843937978992976,0.842
13,0.08634568215880427,0.07869995329453099,0.822
14,0.07964133863674942,0.07751846510330267,0.802
15,0.07362175186458626,0.07718173999427931,0.78
16,0.06628141902550123,0.058123740002630736,0.804
17,0.07163757606969011,0.05287873336825248,0.776
18,0.07548184082262742,0.04944007977903062,0.762
19,0.07800518041476608,0.044972839606952766,0.752
20,0.07949456026725238,0.041171593677684526,0.698
21,0.07964720436144854,0.036623297598648845,0.662
22,0.07883037296799011,0.03282785885854322,0.626
23,0.07753837005235255,0.02861246223652411,0.606
24,0.07577526970679173,0.02601104437485119,0.566
25,0.07440000427188352,0.02276309236160772,0.532
26,0.07277610071748496,0.021189854233930775,0.52
27,0.0714180464586243,0.020099926807045487,0.518
28,0.0704363132212311,0.018963275026504082,0.534
29,0.06937890464067459,0.019298717228939697,0.534
30,0.06889715768396855,0.01918537179528121,0.546
